,model_id,train length,test length,batch_size,lr,data_seed,model_seed,target_layer,residual_location,target_position,model path,train loss,test loss,train acc,test acc,counterfactual embedding success,counterfactual predicts CF label,counterfactual predicts original label,counterfactual average logit diff,counterfactual dataset size
0,e7609b5a-5c0c-467a-8ab2-715f98347795,7500,5108,500,0.1,0,0,0,resid_mid,0,../Model/Algorithmic_Train/Disambiguation/a2_minus_b2_2_layer/ba35f4aa-e742-4fa4-99af-14e4f10d653a_final,4.727599589029948,4.7357401847839355,0.010133333504199982,0.0070477682165801525,0.008957006369426751,0.0,1.0,1.000010019442506,5024
1,cf898148-e4d0-4525-ab48-638307d6344a,7500,5108,500,0.1,0,0,0,resid_post,0,../Model/Algorithmic_Train/Disambiguation/a2_minus_b2_2_layer/ba35f4aa-e742-4fa4-99af-14e4f10d653a_final,4.7275992711385095,4.735739621249112,0.010133333504199982,0.0070477682165801525,0.008957006369426751,0.0,1.0,1.0000000586801359,5024
2,1e09cff2-01cf-4cc0-8681-cfbc18c837a3,7500,5108,500,0.1,0,0,0,resid_mid,1,../Model/Algorithmic_Train/Disambiguation/a2_minus_b2_2_layer/ba35f4aa-e742-4fa4-99af-14e4f10d653a_final,4.7275997797648115,4.735738277435303,0.010133333504199982,0.0070477682165801525,0.008957006369426751,0.0,1.0,1.0000072968389913,5024
3,afc7de75-e3f0-4d01-8b20-9260f98b40d8,7500,5108,500,0.1,0,0,0,resid_post,1,../Model/Algorithmic_Train/Disambiguation/a2_minus_b2_2_layer/ba35f4aa-e742-4fa4-99af-14e4f10d653a_final,4.727599589029948,4.735738320784136,0.010133333504199982,0.0070477682165801525,0.008957006369426751,0.0,1.0,1.0000000091861758,5024
4,5635212c-3e62-4545-b970-ed21f5e0689e,7500,5108,500,0.1,0,0,0,resid_mid,2,../Model/Algorithmic_Train/Disambiguation/a2_minus_b2_2_layer/ba35f4aa-e742-4fa4-99af-14e4f10d653a_final,4.7276026725769045,4.735742525620894,0.010133333504199982,0.0070477682165801525,0.008957006369426751,0.0,1.0,0.9999916424004872,5024
5,48c3bd00-b4e5-49b5-85dd-47b48b33f18e,7500,5108,500,0.1,0,0,0,resid_post,2,../Model/Algorithmic_Train/Disambiguation/a2_minus_b2_2_layer/ba35f4aa-e742-4fa4-99af-14e4f10d653a_final,4.72760238647461,4.7357424822720615,0.010133333504199982,0.0070477682165801525,0.008957006369426751,0.0,0.9998009554140127,0.9967526596630873,5024
6,1805648d-8879-4765-be79-316bcbbad356,7500,5108,500,0.1,0,0,1,resid_mid,0,../Model/Algorithmic_Train/Disambiguation/a2_minus_b2_2_layer/ba35f4aa-e742-4fa4-99af-14e4f10d653a_final,4.727599207560221,4.735739361156117,0.010133333504199982,0.0070477682165801525,0.008957006369426751,0.0,1.0,1.0,5024
7,aea095be-f56f-4746-b2ab-82ae3426b9d4,7500,5108,500,0.1,0,0,1,resid_post,0,../Model/Algorithmic_Train/Disambiguation/a2_minus_b2_2_layer/ba35f4aa-e742-4fa4-99af-14e4f10d653a_final,4.727598826090495,4.735738754272461,0.010133333504199982,0.0070477682165801525,0.008957006369426751,0.0,1.0,1.0,5024
8,5f2879cd-4035-4a76-8fe2-8a5d877162ae,7500,5108,500,0.1,0,0,1,resid_mid,1,../Model/Algorithmic_Train/Disambiguation/a2_minus_b2_2_layer/ba35f4aa-e742-4fa4-99af-14e4f10d653a_final,4.727599747975668,4.73573823408647,0.010133333504199982,0.0070477682165801525,0.008957006369426751,0.0,1.0,1.0,5024
9,09153a4b-8a74-4e15-bf86-c014191510d8,7500,5108,500,0.1,0,0,1,resid_post,1,../Model/Algorithmic_Train/Disambiguation/a2_minus_b2_2_layer/ba35f4aa-e742-4fa4-99af-14e4f10d653a_final,4.7276000340779625,4.735737973993475,0.010133333504199982,0.0070477682165801525,0.008957006369426751,0.0,1.0,1.0,5024
10,05028051-2ecf-410c-a2ed-ff15e38abcb1,7500,5108,500,0.1,0,0,1,resid_mid,2,../Model/Algorithmic_Train/Disambiguation/a2_minus_b2_2_layer/ba35f4aa-e742-4fa4-99af-14e4f10d653a_final,4.727602481842041,4.7357424389232285,0.010133333504199982,0.0070477682165801525,0.008957006369426751,0.0,1.0,1.0001641615595085,5024
11,753cc430-59d6-4bcb-8428-30c60890ba1c,7500,5108,500,0.1,0,0,1,resid_post,2,../Model/Algorithmic_Train/Disambiguation/a2_minus_b2_2_layer/ba35f4aa-e742-4fa4-99af-14e4f10d653a_final,4.568962860107422,4.924942233345726,0.025200000032782555,0.012725137174129486,0.1721735668789809,0.005772292993630573,0.6162420382165605,0.5973720924607024,5024
