,model_id,task,train length,test length,batch_size,lr,data_seed,model_seed,target_layer,operation,probe index,mask_init,model path,train loss,test loss,knn dev acc,dev majority acc,knn test acc,test majority acc,full model knn dev acc,full model knn test acc,L0 Norm,L0 Max, vanilla acc IID, ablated acc IID,random ablate acc mean IID,random ablate acc std IID
0,9e0c696d-d324-45b1-ae39-67dd58cd158e,syntactic_number,2000,1000,500,0.001,0,0,0,attn,-1,0.0,gpt2-medium,0.6036016345024109,0.6095696985721588,0.8323323323323323,0.5015015015015015,0.835,0.5,0.5055055055055055,0.519,1266688.0,4194304,0.975,0.975,0.9745999999999999,0.0016248076809271936
1,d29c772f-d42a-40dd-997c-9b3852f4dad3,syntactic_number,2000,1000,500,0.001,0,0,0,mlp,-1,0.0,gpt2-medium,0.3383052200078964,0.3407127857208252,1.0,0.5015015015015015,1.0,0.5,0.6066066066066066,0.585,1041408.0,8388608,0.975,0.525,0.9303999999999999,0.0545329258338483
2,9f96dfce-54e8-4411-9705-f3819305d0db,syntactic_number,2000,1000,500,0.001,0,0,1,attn,-1,0.0,gpt2-medium,0.2169976755976677,0.22147218137979507,1.0,0.5015015015015015,1.0,0.5,0.5105105105105106,0.497,1061888.0,4194304,0.975,0.97,0.9713999999999998,0.002870540018881467
3,e01e09f2-1f31-4f24-9730-ca1def1837fe,syntactic_number,2000,1000,500,0.001,0,0,1,mlp,-1,0.0,gpt2-medium,0.16491835936903954,0.16785591840744019,1.0,0.5015015015015015,1.0,0.5,0.5570570570570571,0.532,1430528.0,8388608,0.975,0.513,0.9732,0.005230678732248813
4,00ed0f15-4bea-48b5-9cfa-68e458d1e00d,syntactic_number,2000,1000,500,0.001,0,0,2,attn,-1,0.0,gpt2-medium,0.22644678130745888,0.22530749440193176,1.0,0.5015015015015015,0.999,0.5,0.5295295295295295,0.515,837632.0,4194304,0.975,0.966,0.9675999999999998,0.004454211490264022
5,40ec76b3-a049-455b-b772-27c3024d46e4,syntactic_number,2000,1000,500,0.001,0,0,2,mlp,-1,0.0,gpt2-medium,0.20107384771108627,0.20146414637565613,1.0,0.5015015015015015,1.0,0.5,0.6601601601601602,0.647,1562624.0,8388608,0.975,0.985,0.9703999999999999,0.005083306010855539
6,d51d53bc-5d2d-4bec-a416-54c98caf7316,syntactic_number,2000,1000,500,0.001,0,0,3,attn,-1,0.0,gpt2-medium,0.2990952506661415,0.3044857680797577,1.0,0.5015015015015015,1.0,0.5,0.5345345345345346,0.518,1301504.0,4194304,0.975,0.965,0.9782,0.003709447398198285
7,3fb46dba-3005-4e17-9df9-2fd05b01c269,syntactic_number,2000,1000,500,0.001,0,0,3,mlp,-1,0.0,gpt2-medium,0.5398098975419998,0.5432708263397217,1.0,0.5015015015015015,1.0,0.5,0.7102102102102102,0.695,1169408.0,8388608,0.975,0.974,0.9724,0.0033823069050575557
8,3ed59a6b-4513-4380-b3cc-add616841a06,syntactic_number,2000,1000,500,0.001,0,0,4,attn,-1,0.0,gpt2-medium,0.14429692551493645,0.14486702531576157,1.0,0.5015015015015015,1.0,0.5,0.505005005005005,0.489,1231872.0,4194304,0.975,0.965,0.9788,0.002785677655436826
9,f9935147-61d8-4440-8b8b-e265c8fce47b,syntactic_number,2000,1000,500,0.001,0,0,4,mlp,-1,0.0,gpt2-medium,0.5417783409357071,0.5448437631130219,1.0,0.5015015015015015,1.0,0.5,0.5480480480480481,0.53,1579008.0,8388608,0.975,0.981,0.9777999999999999,0.0034292856398964525
10,e78939c6-8f67-4af3-b65e-a0418cf3110c,syntactic_number,2000,1000,500,0.001,0,0,5,attn,-1,0.0,gpt2-medium,0.14202534779906273,0.14237969368696213,1.0,0.5015015015015015,1.0,0.5,0.4974974974974975,0.485,1097728.0,4194304,0.975,0.975,0.9714,0.0029393876913398165
11,c80eab86-e8d9-4023-9dd1-2e970c79885d,syntactic_number,2000,1000,500,0.001,0,0,5,mlp,-1,0.0,gpt2-medium,0.5246448665857315,0.5303855240345001,1.0,0.5015015015015015,1.0,0.5,0.6016016016016016,0.597,1556480.0,8388608,0.975,0.981,0.9752000000000001,0.005306599664568644
12,b6a93523-c3af-4f0a-8181-e52d3ecf1f18,syntactic_number,2000,1000,500,0.001,0,0,6,attn,-1,0.0,gpt2-medium,0.1362965777516365,0.13665025681257248,1.0,0.5015015015015015,1.0,0.5,0.4974974974974975,0.486,1083392.0,4194304,0.975,0.97,0.9714,0.004715930449020642
13,a718cb6f-87d9-497f-a2d3-5d82ca3a1521,syntactic_number,2000,1000,500,0.001,0,0,6,mlp,-1,0.0,gpt2-medium,0.49294179677963257,0.49315594136714935,1.0,0.5015015015015015,1.0,0.5,0.525025025025025,0.489,1290240.0,8388608,0.975,0.976,0.974,0.0023664319132398483
14,d99be555-cb9a-4d98-af8a-def9d1e72c4c,syntactic_number,2000,1000,500,0.001,0,0,7,attn,-1,0.0,gpt2-medium,0.15091431885957718,0.15124306827783585,1.0,0.5015015015015015,1.0,0.5,0.519019019019019,0.514,1188864.0,4194304,0.975,0.978,0.9841999999999999,0.003655133376499417
15,20f532a3-c6e0-4aa8-b555-11117689d849,syntactic_number,2000,1000,500,0.001,0,0,7,mlp,-1,0.0,gpt2-medium,0.4953477531671524,0.4973510801792145,1.0,0.5015015015015015,1.0,0.5,0.5625625625625625,0.549,1293312.0,8388608,0.975,0.974,0.9751999999999998,0.000979795897113272
16,a1e37f69-4705-4684-ba05-52e739789d3e,syntactic_number,2000,1000,500,0.001,0,0,8,attn,-1,0.0,gpt2-medium,0.15807603299617767,0.1588463857769966,1.0,0.5015015015015015,1.0,0.5,0.498998998998999,0.506,1165312.0,4194304,0.975,0.975,0.9747999999999999,0.004308131845707607
17,603529b9-8353-4a4b-b7a2-568c5a299621,syntactic_number,2000,1000,500,0.001,0,0,8,mlp,-1,0.0,gpt2-medium,0.5129684060811996,0.5121144950389862,1.0,0.5015015015015015,1.0,0.5,0.6981981981981982,0.683,1581056.0,8388608,0.975,0.973,0.9748000000000001,0.00271293199325011
18,d57e3f77-c3e9-4794-8ef3-71c241775d77,syntactic_number,2000,1000,500,0.001,0,0,9,attn,-1,0.0,gpt2-medium,0.2880227640271187,0.28602123260498047,1.0,0.5015015015015015,1.0,0.5,0.5125125125125125,0.522,1119232.0,4194304,0.975,0.982,0.9696,0.007578918128598574
