,model_id,multitask,agreement,train length,test length,batch_size,lr,data_seed,model_seed,target_layer,operation,probe index,mask_init,model path,train loss,test loss,knn dev acc,dev majority acc,knn test acc,test majority acc,full model knn dev acc,full model knn test acc,L0 Norm,L0 Max, vanilla acc IID, ablated acc IID, kl IID,random ablate acc mean IID,random ablate acc std IID, random ablate kl mean IID, random ablate kl std IID, vanilla acc Gen, ablated acc Gen, kl Gen,random ablate acc mean Gen,random ablate acc std Gen, random ablate kl mean Gen, random ablate kl std Gen
27,d42030ad-0ee8-4028-9071-11e542c6cc15,False,True,2000,1000,500,0.001,0,0,13,mlp,-1,0.0,gpt2-medium,0.36515215784311295,0.35890768468379974,1.0,0.497997997997998,1.0,0.504,0.6301301301301301,0.613,1542144.0,8388608,0.763,0.724,0.017775862950352363,0.76,0.004604345773288539,0.02205637899051782,0.004264376720049247,1.0,1.0,0.009888672243034318,1.0,0.0,0.00915102689340853,0.0020345845106409365
28,8dbc37c2-ba1d-4038-870a-eec7c8f9b589,False,True,2000,1000,500,0.001,0,0,14,attn,-1,0.0,gpt2-medium,0.33308639377355576,0.3361951410770416,1.0,0.497997997997998,1.0,0.504,0.5580580580580581,0.563,1118208.0,4194304,0.763,0.761,0.02037630257525208,0.7794000000000001,0.012370933675353702,0.014541706026129683,0.002731457418613948,1.0,1.0,0.009583945140424849,1.0,0.0,0.0017707266729372906,0.0010055272089907797
29,69014db7-680b-49b0-858e-f562f768d342,False,True,2000,1000,500,0.001,0,0,14,mlp,-1,0.0,gpt2-medium,0.3427427262067795,0.3405155837535858,0.9984984984984985,0.497997997997998,0.998,0.504,0.6201201201201201,0.598,1593344.0,8388608,0.763,0.745,0.011949550745776092,0.7692,0.013991425945914175,0.023529959833044328,0.0006102182010178273,1.0,1.0,0.005281919275303339,1.0,0.0,0.015647217665115662,0.005764844190665842
30,75563d42-ceb8-4197-a976-0ccabf289cb6,False,True,2000,1000,500,0.001,0,0,15,attn,-1,0.0,gpt2-medium,0.2939143776893616,0.2949254512786865,1.0,0.497997997997998,1.0,0.504,0.6496496496496497,0.649,1204224.0,4194304,0.763,0.725,0.018800269928032277,0.7842,0.027780568748677556,0.019057046407283645,0.0031818629587389907,1.0,1.0,0.0031861363289809944,1.0,0.0,0.004149466473293864,0.0023817084434238473
31,164b814a-8211-4117-9074-da013b4f1de7,False,True,2000,1000,500,0.001,0,0,15,mlp,-1,0.0,gpt2-medium,0.2820345312356949,0.2780236601829529,0.9994994994994995,0.497997997997998,1.0,0.504,0.6461461461461462,0.625,1603584.0,8388608,0.763,0.705,0.016179613062259495,0.7506,0.01730433471705863,0.034418478984136885,0.013730915426924605,1.0,1.0,0.008828658905170627,1.0,0.0,0.008441663339618863,0.0014086051818610588
32,b5b1395e-4e95-40d8-a205-0381add6b168,False,True,2000,1000,500,0.001,0,0,16,attn,-1,0.0,gpt2-medium,0.40392227470874786,0.40676937997341156,0.995995995995996,0.497997997997998,0.996,0.504,0.5715715715715716,0.571,1103872.0,4194304,0.763,0.73,0.012897710344011023,0.7864000000000001,0.010131140113531162,0.009662619418170393,0.001035480269610037,1.0,1.0,0.007275641844733225,1.0,0.0,0.002522973079500087,0.0013514300264174505
33,e25a3243-b357-452d-ae54-6b1af2ae5c47,False,True,2000,1000,500,0.001,0,0,16,mlp,-1,0.0,gpt2-medium,0.2533234916627407,0.24614377319812775,0.997997997997998,0.497997997997998,1.0,0.504,0.6146146146146146,0.622,1352704.0,8388608,0.763,0.748,0.010618927162365845,0.7315999999999999,0.023405982141324493,0.03398175763575439,0.013436347790919019,1.0,1.0,0.009055219749394248,1.0,0.0,0.02789394168053847,0.007923506977670088
34,5e010dff-f847-4dfc-981f-7ec4d6f55e7f,False,True,2000,1000,500,0.001,0,0,17,attn,-1,0.0,gpt2-medium,0.1556558459997177,0.15619628876447678,1.0,0.497997997997998,1.0,0.504,0.508008008008008,0.521,1130496.0,4194304,0.763,0.776,0.006041720351219169,0.7465999999999999,0.014623269128344742,0.015605503599693154,0.0024285553477915636,1.0,1.0,0.0021004099094614564,1.0,0.0,0.0058822844964805925,0.001130275816736986
35,2bee7c47-3637-469d-a6ca-44127ce1c7d7,False,True,2000,1000,500,0.001,0,0,17,mlp,-1,0.0,gpt2-medium,0.5574039220809937,0.5659152269363403,0.9309309309309309,0.497997997997998,0.919,0.504,0.5630630630630631,0.577,1448960.0,8388608,0.763,0.756,0.008608138462858341,0.7218,0.02559218630754316,0.014362978069459414,0.0019166510353963062,1.0,1.0,0.005605549745117266,1.0,0.0,0.011984910328393156,0.0013040711948986469
36,9aac4ec0-200b-4765-bf19-9380749478d2,False,True,2000,1000,500,0.001,0,0,18,attn,-1,0.0,gpt2-medium,0.2450697422027588,0.2465490698814392,1.0,0.497997997997998,1.0,0.504,0.6796796796796797,0.686,1058816.0,4194304,0.763,0.689,0.023879537934384538,0.7858,0.008304215796810685,0.008684013987780759,0.0018597959799889511,1.0,1.0,0.007970087004759572,1.0,0.0,0.002015203614292805,0.00156788023485756
37,a3f9e141-0900-4e0e-8cc2-c630b0fe2090,False,True,2000,1000,500,0.001,0,0,18,mlp,-1,0.0,gpt2-medium,0.2267627976834774,0.22325042635202408,0.995995995995996,0.497997997997998,0.996,0.504,0.5640640640640641,0.544,1406976.0,8388608,0.763,0.737,0.012917753354376508,0.7642,0.024766105870725842,0.014701039388973196,0.00467558224867907,1.0,1.0,0.01395098607401224,1.0,0.0,0.0070893095682252995,0.0008445776112474366
38,6df141fd-e1b4-4399-a1f2-9706a6055bbd,False,True,2000,1000,500,0.001,0,0,19,attn,-1,0.0,gpt2-medium,0.4189206659793854,0.419979065656662,0.9994994994994995,0.497997997997998,1.0,0.504,0.529029029029029,0.55,873472.0,4194304,0.763,0.714,0.008112300184895354,0.7786000000000001,0.005276362383309172,0.003134351230098506,0.0007817531671240142,1.0,1.0,0.004918526769381532,1.0,0.0,0.0014740636993858152,0.0010854703358809511
39,c5aaba5f-5887-4e54-9a74-c798fdb47ec0,False,True,2000,1000,500,0.001,0,0,19,mlp,-1,0.0,gpt2-medium,0.5787875652313232,0.5716512203216553,0.9274274274274275,0.497997997997998,0.934,0.504,0.6176176176176176,0.645,1443840.0,8388608,0.763,0.668,0.013547752952922284,0.7724,0.014800000000000013,0.04804986029523376,0.031109181291413587,1.0,1.0,0.007644065750647662,1.0,0.0,0.05630856903313464,0.025259510072177027
40,e1334d31-98fa-46b9-8fa4-e13d9812afbd,False,True,2000,1000,500,0.001,0,0,20,attn,-1,0.0,gpt2-medium,0.4493187442421913,0.45035289227962494,0.996996996996997,0.497997997997998,0.999,0.504,0.5425425425425425,0.529,737280.0,4194304,0.763,0.758,0.00817695606032192,0.7752,0.012448293055676359,0.0025870316482783356,0.0014313821642769954,1.0,1.0,0.0059757878555281915,1.0,0.0,0.0006131320197523942,0.0002750107101971997
41,d00437d5-8b48-4422-8b79-ff3b347abaf3,False,True,2000,1000,500,0.001,0,0,20,mlp,-1,0.0,gpt2-medium,0.3855128139257431,0.3866989314556122,0.9924924924924925,0.497997997997998,0.992,0.504,0.555055055055055,0.562,1356800.0,8388608,0.763,0.655,0.010295703599033163,0.7744,0.018249383551232647,0.01693759460871688,0.0074149525337495956,1.0,1.0,0.010769161409687707,1.0,0.0,0.00833769502073756,0.003536486884910283
42,6703cc46-d74d-46be-8f2e-5b77cd69c8df,False,True,2000,1000,500,0.001,0,0,21,attn,-1,0.0,gpt2-medium,0.166260726749897,0.1683865487575531,0.9974974974974975,0.497997997997998,0.999,0.504,0.527027027027027,0.538,527360.0,4194304,0.763,0.777,0.005161354468533712,0.7726,0.00939361485265391,0.0024267171669096503,0.0005653366391840929,1.0,1.0,0.0025120520530859994,1.0,0.0,0.0009874424300757192,0.00039656911793804235
43,2fe6a789-7ed5-4357-a307-9dc008de2866,False,True,2000,1000,500,0.001,0,0,21,mlp,-1,0.0,gpt2-medium,0.283266082406044,0.2772253006696701,0.9824824824824825,0.497997997997998,0.988,0.504,0.6126126126126126,0.589,1024000.0,8388608,0.763,0.746,0.02562888792424805,0.7412,0.012006664815842918,0.007956412662172938,0.0020334051642281483,1.0,1.0,0.02892288348537857,1.0,0.0,0.007784305200057603,0.003768523158810563
44,12500253-fd57-4614-8fb5-e3e01dc0a385,False,True,2000,1000,500,0.001,0,0,22,attn,-1,0.0,gpt2-medium,0.2987649440765381,0.294771671295166,0.955955955955956,0.497997997997998,0.964,0.504,0.5580580580580581,0.572,234496.0,4194304,0.763,0.769,0.0012967369500541603,0.762,0.006066300355241246,0.0009410499988598463,0.0003994348413878908,1.0,1.0,0.00015706014785938372,1.0,0.0,0.00016267701767253522,7.556898559031633e-05
45,2d292fb1-b331-446d-ba1d-91f9f52533ef,False,True,2000,1000,500,0.001,0,0,22,mlp,-1,0.0,gpt2-medium,0.1866193301975727,0.187627412378788,1.0,0.497997997997998,1.0,0.504,0.7187187187187187,0.72,1200128.0,8388608,0.763,0.718,0.0595078221456414,0.7552000000000001,0.008518215775618749,0.04554464389322142,0.008799569819233428,1.0,1.0,0.056912051334769266,1.0,0.0,0.03377154721136073,0.012209992001803888
46,02d58f43-003f-48f2-9f17-73d75b204290,False,True,2000,1000,500,0.001,0,0,23,attn,-1,0.0,gpt2-medium,0.15837644785642624,0.16071463376283646,0.9994994994994995,0.497997997997998,0.999,0.504,0.45795795795795796,0.473,574464.0,4194304,0.763,0.757,0.005482098375103677,0.7676000000000001,0.004317406628984584,0.0029399294501101037,0.0007107993153965667,1.0,1.0,0.005961808620465925,1.0,0.0,0.002255470884675463,0.0007795218063869725
47,ef788a7c-1d1b-4246-8b89-f4634bdab0a5,False,True,2000,1000,500,0.001,0,0,23,mlp,-1,0.0,gpt2-medium,0.394230917096138,0.3921490013599396,0.9294294294294294,0.497997997997998,0.933,0.504,0.6276276276276276,0.621,728064.0,8388608,0.763,0.804,0.032381170603036864,0.757,0.011627553482998917,0.005833726733925955,0.0017315212586624517,1.0,1.0,0.027003765138436536,1.0,0.0,0.005810943015958717,0.0008422821277175845
