,model_id,label,train length,dev length,test length,batch_size,lr,seed,target_layer,mask_init,model,model path,train loss,dev loss,knn dev acc,dev majority acc,knn test acc,test majority acc,L0 Norm,L0 Max,vanilla acc,ablated acc,kl,mlm vanilla acc,mlm ablated acc,mlm kl,random ablate acc,random ablate kl,random ablate mlm acc,random ablate mlm kl
0,09139c8d-4548-48d7-ad3b-7d0155ede2f3,dep,16521,1522,15977,16,0.001,0,0,0.0,bert,bert-base-uncased,2.7890600042958416,2.8638740380605063,0.49797646472822366,0.11649336903057095,0.47831257432559304,0.11698065969831634,321184.0,4718592,0.0,0.0,0.01809673000693707,0.0,0.0014204545454545455,0.014314643361351707,0.0,0.0033663172552114936,0.0,0.0029570446773008866
1,1e376b75-cc50-4305-9e18-786dc167ce61,dep,16521,1522,15977,16,0.001,0,1,0.0,bert,bert-base-uncased,2.7882209324067637,2.8637988169988,0.5076894340327501,0.11649336903057095,0.4870751705576767,0.11698065969831634,331081.0,4718592,0.0,0.0,0.019145580402855734,0.0,0.0,0.016393299807201733,0.0,0.003192323851353914,0.0,0.0031025592576373706
2,bb6e82e3-fd0e-4e04-805f-c1dda3e4b244,dep,16521,1522,15977,16,0.001,0,2,0.0,bert,bert-base-uncased,2.7843626622230775,2.867575526237488,0.509619575368906,0.11649336903057095,0.48475934155348316,0.11698065969831634,347947.0,4718592,0.0,0.0,0.026175252673695387,0.0,0.0,0.021642839366739445,0.0,0.003775505880707676,0.0,0.004189298234202645
3,3cfc2c12-1b7b-4840-b40d-61847912e63e,dep,16521,1522,15977,16,0.001,0,3,0.0,bert,bert-base-uncased,2.7835622948984944,2.8681923151016235,0.5202042214058901,0.11649336903057095,0.49101833886211427,0.11698065969831634,360577.0,4718592,0.0,0.0,0.029476012689781807,0.0,0.0,0.02954818985678933,0.0,0.0038870336168406465,0.0,0.004212247377092188
4,f1a8189a-ec8f-45d4-b5a6-94f8778e6672,dep,16521,1522,15977,16,0.001,0,4,0.0,bert,bert-base-uncased,2.7820212033487137,2.8691482146581015,0.527488948384285,0.11649336903057095,0.4938348876509983,0.11698065969831634,369947.0,4718592,0.0,0.0,0.032477167123343954,0.0,0.0,0.030420996926047585,0.0,0.003990826406139386,0.0007102272727272727,0.004412967373024334
5,ab491f29-6102-4188-a290-50f2e8b1a00c,dep,16521,1522,15977,16,0.001,0,5,0.0,bert,bert-base-uncased,2.781513883221534,2.871220668156942,0.5152854741298798,0.11649336903057095,0.49126869875445955,0.11698065969831634,380873.0,4718592,0.0,0.0,0.035313662433315636,0.0,0.0,0.03276214816353538,0.0,0.004144385254498824,0.0,0.004089230840856379
6,81322bab-a92e-46d6-9908-5f311993ad2c,dep,16521,1522,15977,16,0.001,0,6,0.0,bert,bert-base-uncased,2.7800411024401264,2.874373475710551,0.5193948072971795,0.11649336903057095,0.48713776053076296,0.11698065969831634,399265.0,4718592,0.0,0.0,0.03892906707467385,0.0,0.0,0.03566400029442527,0.0,0.004171459111580957,0.0,0.004395512694662268
7,a7379876-3705-4f56-9f47-7e63e62b5082,dep,16521,1522,15977,16,0.001,0,7,0.0,bert,bert-base-uncased,2.779352887984245,2.8746832609176636,0.5281738372455015,0.11649336903057095,0.4900168992927333,0.11698065969831634,409359.0,4718592,0.0,0.0,0.04289682135227043,0.0,0.0,0.043012429367412224,0.0,0.004281476091798455,0.0,0.004226790910417383
8,ba1386f1-d1e7-419c-9d12-1f00b89007bc,dep,16521,1522,15977,16,0.001,0,8,0.0,bert,bert-base-uncased,2.7730810180787118,2.8747172355651855,0.5347114127389329,0.11649336903057095,0.4897039494273017,0.11698065969831634,427500.0,4718592,0.0,0.0,0.04683346053929005,0.0,0.0,0.05114038965918801,0.0,0.0048046260204130005,0.0,0.0048945756121115255
9,812a2ca6-afaf-4582-9d10-b156b39ebf3c,dep,16521,1522,15977,16,0.001,0,9,0.0,bert,bert-base-uncased,2.7779122744837115,2.8798478841781616,0.5351472511051616,0.11649336903057095,0.49189459848532263,0.11698065969831634,433686.0,4718592,0.0,0.0,0.04618932236359729,0.0,0.0,0.05151645703749223,0.0,0.004666003131557823,0.0,0.004669643261215903
10,a94b6745-0125-4012-91f3-a16833d37483,dep,16521,1522,15977,16,0.001,0,10,0.0,bert,bert-base-uncased,2.7744115667958416,2.880106568336487,0.5501525434281801,0.11649336903057095,0.4992176253364211,0.11698065969831634,443153.0,4718592,0.0,0.0,0.041163669820742314,0.0,0.0,0.040464195338162506,0.0,0.004519988495169334,0.0,0.004175548187711022
11,08690d85-84fb-45c5-b9fc-11b2e87184b3,dep,16521,1522,15977,16,0.001,0,11,0.0,bert,bert-base-uncased,2.7757790204017394,2.880078077316284,0.5306020795716332,0.11649336903057095,0.4894535895349565,0.11698065969831634,452689.0,4718592,0.0,0.0,0.04454641002667375,0.0,0.0,0.04304784265431491,0.0,0.00489420288974799,0.0,0.004816927354444157
