,model_id,task,train length,test length,batch_size,lr,data_seed,model_seed,target_layer,operation,probe index,mask_init,model path,train loss,test loss,knn dev acc,dev majority acc,knn test acc,test majority acc,full model knn dev acc,full model knn test acc,L0 Norm,L0 Max, vanilla acc IID, ablated acc IID,random ablate acc mean IID,random ablate acc std IID, vanilla acc Gen, ablated acc Gen,random ablate acc mean Gen,random ablate acc std Gen
0,9ba0d328-7192-4835-9b64-420acc952d8e,reflexive,2000,1000,500,0.001,0,0,0,attn,-1,0.0,gpt2-medium,0.6392379701137543,0.6451506018638611,0.8913913913913913,0.4804804804804805,0.871,0.491,0.5780780780780781,0.573,292864.0,4194304,0.626,0.612,0.6267999999999999,0.004069397989875164,0.9785714285714285,0.9785714285714285,0.9785714285714284,1.1102230246251565e-16
1,c333abfa-1f98-4526-9b9c-5b539282b3cc,reflexive,2000,1000,500,0.001,0,0,0,mlp,-1,0.0,gpt2-medium,0.5611002892255783,0.5604626834392548,0.9504504504504504,0.4804804804804805,0.951,0.491,0.5185185185185185,0.541,79872.0,8388608,0.626,0.581,0.6279999999999999,0.0060663003552412454,0.9785714285714285,0.9785714285714285,0.9785714285714284,1.1102230246251565e-16
2,0c828ac8-fc18-4a96-89fb-ba68be7f5094,reflexive,2000,1000,500,0.001,0,0,1,attn,-1,0.0,gpt2-medium,0.6936779767274857,0.6946530938148499,0.4804804804804805,0.4804804804804805,0.491,0.491,0.5880880880880881,0.607,0.0,4194304,0.626,0.626,0.626,0.0,0.9785714285714285,0.9785714285714285,0.9785714285714284,1.1102230246251565e-16
3,32342247-e3bd-4411-8056-ed555474c442,reflexive,2000,1000,500,0.001,0,0,1,mlp,-1,0.0,gpt2-medium,0.3164070323109627,0.31660862267017365,1.0,0.4804804804804805,1.0,0.491,0.5870870870870871,0.607,585728.0,8388608,0.626,0.465,0.6239999999999999,0.01013903348450927,0.9785714285714285,0.6285714285714286,0.9800000000000001,0.0028571428571428914
4,7fe11919-61c0-4625-bd81-f8a19ff6a5ce,reflexive,2000,1000,500,0.001,0,0,2,attn,-1,0.0,gpt2-medium,0.27006126195192337,0.26202256977558136,1.0,0.4804804804804805,1.0,0.491,0.5880880880880881,0.607,385024.0,4194304,0.626,0.59,0.6244,0.008639444426582078,0.9785714285714285,0.9642857142857143,0.9785714285714284,1.1102230246251565e-16
5,2a228038-ec2d-4a9c-ba5d-fc609ba2473d,reflexive,2000,1000,500,0.001,0,0,2,mlp,-1,0.0,gpt2-medium,0.19258828461170197,0.18724695593118668,0.984984984984985,0.4804804804804805,0.988,0.491,0.6686686686686687,0.687,580608.0,8388608,0.626,0.633,0.628,0.00669328021227261,0.9785714285714285,0.9785714285714285,0.9757142857142856,0.0057142857142856935
6,e10e133b-1388-47c5-b700-2b971c1a87f9,reflexive,2000,1000,500,0.001,0,0,3,attn,-1,0.0,gpt2-medium,0.3500579968094826,0.35393567383289337,0.982982982982983,0.4804804804804805,0.971,0.491,0.5880880880880881,0.607,531456.0,4194304,0.626,0.632,0.6208,0.006794115100585217,0.9785714285714285,0.9785714285714285,0.9785714285714284,1.1102230246251565e-16
7,2c80a25f-8d51-45ac-ac77-007aa391f229,reflexive,2000,1000,500,0.001,0,0,3,mlp,-1,0.0,gpt2-medium,0.5835603624582291,0.5824215114116669,0.9619619619619619,0.4804804804804805,0.961,0.491,0.6171171171171171,0.63,223232.0,8388608,0.626,0.635,0.6352,0.001326649916142161,0.9785714285714285,0.9785714285714285,0.9785714285714284,1.1102230246251565e-16
8,0c95f429-4e5b-47bc-aa8c-7d437aa31645,reflexive,2000,1000,500,0.001,0,0,4,attn,-1,0.0,gpt2-medium,0.21499649062752724,0.20977192372083664,0.998998998998999,0.4804804804804805,0.999,0.491,0.58008008008008,0.603,563200.0,4194304,0.626,0.602,0.6154,0.012126005112979305,0.9785714285714285,0.9785714285714285,0.9785714285714284,1.1102230246251565e-16
9,064c105c-de55-4028-b62c-bf51dd8e6027,reflexive,2000,1000,500,0.001,0,0,4,mlp,-1,0.0,gpt2-medium,0.4733022451400757,0.4662804901599884,0.9584584584584585,0.4804804804804805,0.968,0.491,0.5770770770770771,0.606,461824.0,8388608,0.626,0.607,0.6306,0.00588557558782487,0.9785714285714285,0.9785714285714285,0.9785714285714284,1.1102230246251565e-16
10,5feb340c-28fc-462d-a188-b9671f89202c,reflexive,2000,1000,500,0.001,0,0,5,attn,-1,0.0,gpt2-medium,0.1592593416571617,0.15915289521217346,1.0,0.4804804804804805,1.0,0.491,0.5890890890890891,0.627,530432.0,4194304,0.626,0.613,0.6132000000000001,0.004445222154178577,0.9785714285714285,0.9785714285714285,0.9785714285714284,1.1102230246251565e-16
11,796c945c-93af-4c55-8bfc-4340d26c3da7,reflexive,2000,1000,500,0.001,0,0,5,mlp,-1,0.0,gpt2-medium,0.6454010754823685,0.6433968245983124,0.92992992992993,0.4804804804804805,0.944,0.491,0.5870870870870871,0.608,64512.0,8388608,0.626,0.599,0.6287999999999999,0.0031874754901018484,0.9785714285714285,0.9785714285714285,0.9785714285714284,1.1102230246251565e-16
12,483ee47d-4e02-4aff-b7b2-bc75be9be7db,reflexive,2000,1000,500,0.001,0,0,6,attn,-1,0.0,gpt2-medium,0.15342355147004128,0.15436865389347076,0.998998998998999,0.4804804804804805,0.998,0.491,0.7932932932932933,0.799,458752.0,4194304,0.626,0.616,0.6022,0.010380751417888794,0.9785714285714285,0.9785714285714285,0.9785714285714284,1.1102230246251565e-16
13,355cf42c-4b97-4a63-bdcb-de37bccf5955,reflexive,2000,1000,500,0.001,0,0,6,mlp,-1,0.0,gpt2-medium,0.5938401371240616,0.5887567698955536,0.92992992992993,0.4804804804804805,0.944,0.491,0.5930930930930931,0.62,165888.0,8388608,0.626,0.631,0.627,0.006542170893518456,0.9785714285714285,0.9785714285714285,0.9785714285714284,1.1102230246251565e-16
14,e5668569-d26a-4c9d-ad55-2a090ea11094,reflexive,2000,1000,500,0.001,0,0,7,attn,-1,0.0,gpt2-medium,0.27887845784425735,0.2759251147508621,0.98998998998999,0.4804804804804805,0.991,0.491,0.6406406406406406,0.653,635904.0,4194304,0.626,0.611,0.6098,0.011478675881825405,0.9785714285714285,0.9785714285714285,0.9785714285714284,1.1102230246251565e-16
15,23217ddc-e0ab-4b6d-84a7-2de5b13d192c,reflexive,2000,1000,500,0.001,0,0,7,mlp,-1,0.0,gpt2-medium,0.6871785223484039,0.6880778968334198,0.7677677677677678,0.4804804804804805,0.776,0.491,0.5915915915915916,0.625,23552.0,8388608,0.626,0.636,0.6266,0.001356465996625055,0.9785714285714285,0.9857142857142858,0.9785714285714284,1.1102230246251565e-16
16,aa395f14-718f-435a-84a0-af44076bc43d,reflexive,2000,1000,500,0.001,0,0,8,attn,-1,0.0,gpt2-medium,0.1723257414996624,0.16944977641105652,1.0,0.4804804804804805,1.0,0.491,0.7257257257257257,0.708,492544.0,4194304,0.626,0.639,0.5986,0.02117167919651157,0.9785714285714285,0.9785714285714285,0.9785714285714284,1.1102230246251565e-16
17,bc7dcb13-a0e7-4be6-a9d6-b8e18dbf0b35,reflexive,2000,1000,500,0.001,0,0,8,mlp,-1,0.0,gpt2-medium,0.3953873813152313,0.38810062408447266,0.9434434434434434,0.4804804804804805,0.954,0.491,0.7427427427427428,0.754,509952.0,8388608,0.626,0.614,0.6274,0.009951884243699792,0.9785714285714285,0.9785714285714285,0.9785714285714284,1.1102230246251565e-16
18,3653fc9d-8b6f-4c92-8ccd-17f52de0f1ef,reflexive,2000,1000,500,0.001,0,0,9,attn,-1,0.0,gpt2-medium,0.25874926894903183,0.25587451457977295,1.0,0.4804804804804805,1.0,0.491,0.6966966966966966,0.717,513024.0,4194304,0.626,0.595,0.6211999999999999,0.008795453370918417,0.9785714285714285,0.9785714285714285,0.9800000000000001,0.0028571428571428914
19,3bfff12a-307e-4dd9-b5e9-782eff3733c9,reflexive,2000,1000,500,0.001,0,0,9,mlp,-1,0.0,gpt2-medium,0.5323985368013382,0.5286652445793152,0.97997997997998,0.4804804804804805,0.982,0.491,0.6326326326326326,0.638,415744.0,8388608,0.626,0.621,0.6222,0.004308131845707607,0.9785714285714285,0.9785714285714285,0.9785714285714284,1.1102230246251565e-16
20,5ed6bb54-7073-4666-a2e0-99b7e2a8254a,reflexive,2000,1000,500,0.001,0,0,10,attn,-1,0.0,gpt2-medium,0.25143129378557205,0.2642844170331955,0.987987987987988,0.4804804804804805,0.985,0.491,0.8273273273273273,0.82,440320.0,4194304,0.626,0.619,0.633,0.00841427358718506,0.9785714285714285,0.9785714285714285,0.9785714285714284,1.1102230246251565e-16
21,224a3734-36ff-4acf-b42f-b57c743c2586,reflexive,2000,1000,500,0.001,0,0,10,mlp,-1,0.0,gpt2-medium,0.3162626102566719,0.3112824261188507,0.993993993993994,0.4804804804804805,0.993,0.491,0.6376376376376376,0.656,435200.0,8388608,0.626,0.631,0.6266,0.010632027088001619,0.9785714285714285,0.9785714285714285,0.9785714285714284,1.1102230246251565e-16
22,330c7de0-2fa9-43e5-8d86-0ab72bc911d2,reflexive,2000,1000,500,0.001,0,0,11,attn,-1,0.0,gpt2-medium,0.29410142451524734,0.29045724868774414,1.0,0.4804804804804805,1.0,0.491,0.7842842842842843,0.778,553984.0,4194304,0.626,0.632,0.6167999999999999,0.011651609330903617,0.9785714285714285,0.9785714285714285,0.9785714285714284,1.1102230246251565e-16
23,820fd1be-01e6-4500-b9b6-40f05c07ae8e,reflexive,2000,1000,500,0.001,0,0,11,mlp,-1,0.0,gpt2-medium,0.3600989282131195,0.35640694200992584,1.0,0.4804804804804805,1.0,0.491,0.7817817817817818,0.781,430080.0,8388608,0.626,0.622,0.6282,0.009867117106835218,0.9785714285714285,0.9785714285714285,0.9785714285714284,1.1102230246251565e-16
24,a1715d03-0b2a-4a14-ac6a-50d671f58df2,reflexive,2000,1000,500,0.001,0,0,12,attn,-1,0.0,gpt2-medium,0.30620525032281876,0.3059803992509842,1.0,0.4804804804804805,1.0,0.491,0.6216216216216216,0.636,581632.0,4194304,0.626,0.609,0.602,0.006260990336999417,0.9785714285714285,0.9785714285714285,0.9785714285714284,1.1102230246251565e-16
25,e5345738-0cd4-4f79-8d32-9ade7134a45c,reflexive,2000,1000,500,0.001,0,0,12,mlp,-1,0.0,gpt2-medium,0.4587033838033676,0.4529493898153305,1.0,0.4804804804804805,1.0,0.491,0.7102102102102102,0.719,551936.0,8388608,0.626,0.631,0.631,0.0028284271247461927,0.9785714285714285,0.9785714285714285,0.9785714285714284,1.1102230246251565e-16
