,model_id,label,train length,dev length,test length,batch_size,lr,seed,target_layer,mask_init,model,model path,train loss,dev loss,knn dev acc,dev majority acc,knn test acc,test majority acc,L0 Norm,L0 Max,vanilla acc,ablated acc,kl,mlm vanilla acc,mlm ablated acc,mlm kl,random ablate acc,random ablate kl,random ablate mlm acc,random ablate mlm kl
0,a504973f-78aa-4939-a8c4-a391a69e6b19,dep,16084,1444,16506,12,0.001,0,0,0.0,gpt2,gpt2,2.885699786335589,2.9993673264980316,0.545844813224835,0.11456397770231307,0.4611656367381558,0.1151702411244396,543718.0,4718592,0.0,0.0,0.07875911679639215,-1,-1,-1,0.0,0.0316667191325071,-1,-1
1,faf47eb4-a332-4d45-96d0-182a4c6c6d97,dep,16084,1444,16506,12,0.001,0,1,0.0,gpt2,gpt2,2.880303061152079,3.0352187156677246,0.5791631960017941,0.11456397770231307,0.4546225614927905,0.1151702411244396,615809.0,4718592,0.0,0.0,0.08153189716881373,-1,-1,-1,0.0,0.02127409511797213,-1,-1
2,2feccaf7-9c44-4a7c-8838-759945a2adf5,dep,16084,1444,16506,12,0.001,0,2,0.0,gpt2,gpt2,2.8907127150570053,3.045952469110489,0.5671813929646953,0.11456397770231307,0.445656125045438,0.1151702411244396,639004.0,4718592,0.0,0.0,0.06712697315569714,-1,-1,-1,0.0,0.014329060341135975,-1,-1
3,eaa0059b-c1a7-4d2a-903a-f71b4a2bcc27,dep,16084,1444,16506,12,0.001,0,3,0.0,gpt2,gpt2,2.904574106974774,3.061336040496826,0.5502659063240853,0.11456397770231307,0.4327517266448564,0.1151702411244396,639963.0,4718592,0.0,0.0,0.05650582802752482,-1,-1,-1,0.0,0.010490687432778338,-1,-1
4,7cbb1077-e475-4f9e-840a-4e1c6673cf12,dep,16084,1444,16506,12,0.001,0,4,0.0,gpt2,gpt2,2.91340077066996,3.0670237243175507,0.5368744794002691,0.11456397770231307,0.42857142857142855,0.1151702411244396,644955.0,4718592,0.0,0.0,0.0521688284479054,-1,-1,-1,0.0,0.007846207494936119,-1,-1
5,1d25bc5f-b369-45cb-8d6a-1cea5e93231b,dep,16084,1444,16506,12,0.001,0,5,0.0,gpt2,gpt2,2.9212001059428756,3.0732040107250214,0.5291215480233229,0.11456397770231307,0.42039258451472195,0.1151702411244396,639018.0,4718592,0.0,0.0,0.04497699713972207,-1,-1,-1,0.0,0.0065145922827042815,-1,-1
6,d4661d8f-feca-4e57-a9a0-9d3b17c12513,dep,16084,1444,16506,12,0.001,0,6,0.0,gpt2,gpt2,2.93144817811897,3.0800986289978027,0.5214326904594092,0.11456397770231307,0.4172422149521386,0.1151702411244396,649873.0,4718592,0.0,0.0,0.04443550817161909,-1,-1,-1,0.0,0.005963784065765268,-1,-1
7,b2e655c7-a8d9-40fb-a7ec-222a066025b8,dep,16084,1444,16506,12,0.001,0,7,0.0,gpt2,gpt2,2.9376946615885537,3.0840542316436768,0.5059909015185494,0.11456397770231307,0.4065794256633951,0.1151702411244396,643428.0,4718592,0.0,0.0,0.03577967479880278,-1,-1,-1,0.0,0.005216157627930895,-1,-1
8,885a440f-6930-4b1f-8571-2395ccb662ca,dep,16084,1444,16506,12,0.001,0,8,0.0,gpt2,gpt2,2.9477105313036813,3.092710793018341,0.5047094252578971,0.11456397770231307,0.41027505149642557,0.1151702411244396,642885.0,4718592,0.0,0.0,0.031476165809206966,-1,-1,-1,0.0,0.00416755440503322,-1,-1
9,3e27fa9b-c6bd-49e0-afa1-fcd1f18de84e,dep,16084,1444,16506,12,0.001,0,9,0.0,gpt2,gpt2,2.955474939691015,3.0933609902858734,0.4965720510027552,0.11456397770231307,0.4060947534229977,0.1151702411244396,637340.0,4718592,0.0,0.0,0.029747509101707356,-1,-1,-1,0.0,0.0036424895004819437,-1,-1
10,ab3017f2-0130-40d7-8316-a361fdc662a8,dep,16084,1444,16506,12,0.001,0,10,0.0,gpt2,gpt2,2.9531764352178,3.0973088145256042,0.4877298648042545,0.11456397770231307,0.39567430025445294,0.1151702411244396,635058.0,4718592,0.0,0.0,0.025924527011489396,-1,-1,-1,0.0,0.003503312581254466,-1,-1
