,model_id,label,train length,dev length,test length,batch_size,lr,data_seed,model_seed,target_layer,operation,mask_init,model,model path,train loss,dev loss,knn dev acc,dev majority acc,knn test acc,test majority acc,L0 Norm,L0 Max,vanilla acc,ablated acc,kl,mlm vanilla acc,mlm ablated acc,mlm kl,random ablate kl mean,random ablate kl std,all random ablate kls,random ablate mlm kl mean,random ablate mlm kl std,all random ablate mlm kls
17,4a46f66a-f207-4559-9482-d1697740e13d,dep,16521,1522,15977,16,0.001,0,2,2,mlp,0.0,gpt_neox,EleutherAI/pythia-160m,3.0829740378164474,3.1012462774912515,0.5006537575493432,0.11649336903057095,0.4988420854979032,0.11698065969831634,641280.0,4718592,0.04206500956022945,0.0497131931166348,0.5828504203762349,-1,-1,-1,0.44432364488726894,0.0,[0.44432364488726894],-1.0,-1,[-1]
18,9f4d32e6-d76c-4579-beec-e034f8b8d043,dep,16521,1522,15977,16,0.001,0,0,3,attn,0.0,gpt_neox,EleutherAI/pythia-160m,3.370075560385181,3.4018736282984414,0.12998191230586914,0.11632258466911995,0.13913751017087062,0.11698065969831634,201984.0,2359296,0.0911408540471638,0.08795411089866156,0.3517096223460405,-1,-1,-1,0.3365929374427382,0.0,[0.3365929374427382],-1.0,-1,[-1]
19,3c0c87e9-7476-4589-8494-708591589940,dep,16521,1522,15977,16,0.001,0,1,3,attn,0.0,gpt_neox,EleutherAI/pythia-160m,3.3700621743356027,3.397642970085144,0.1276118006611364,0.11632258466911995,0.13694686111284973,0.11698065969831634,198912.0,2359296,0.07520713830465264,0.10325047801147227,0.4548181129003346,-1,-1,-1,0.2783731785148781,0.0,[0.2783731785148781],-1.0,-1,[-1]
20,b1b05d0c-9af4-465f-a9b9-e6573d0248b7,dep,16521,1522,15977,16,0.001,0,2,3,attn,0.0,gpt_neox,EleutherAI/pythia-160m,3.3694619594081754,3.4000868797302246,0.1301690263830849,0.11632258466911995,0.1384490204669212,0.11698065969831634,196608.0,2359296,0.07265774378585087,0.08349267049075844,0.33593617737711123,-1,-1,-1,0.32997013673119824,0.0,[0.32997013673119824],-1.0,-1,[-1]
21,c18b0365-c143-4aaa-9ecd-f7c478741cdc,dep,16521,1522,15977,16,0.001,0,0,3,mlp,0.0,gpt_neox,EleutherAI/pythia-160m,3.0961299096384356,3.1133642196655273,0.49797646472822366,0.11649336903057095,0.5020341741253052,0.11698065969831634,599040.0,4718592,0.052262587635436585,0.06118546845124283,0.3955988400752868,-1,-1,-1,0.32653940856038877,0.0,[0.32653940856038877],-1.0,-1,[-1]
22,574e9393-d7d1-4fc9-acfb-0d6082235ad3,dep,16521,1522,15977,16,0.001,0,1,3,mlp,0.0,gpt_neox,EleutherAI/pythia-160m,3.091636984579025,3.1072363456090293,0.4978519394807297,0.11649336903057095,0.49984352506728424,0.11698065969831634,583680.0,4718592,0.05417463352453792,0.06819630337794774,0.39810015336201404,-1,-1,-1,0.30773449248003304,0.0,[0.30773449248003304],-1.0,-1,[-1]
23,2ace1b08-7aac-4751-8340-8c9b5dc76ace,dep,16521,1522,15977,16,0.001,0,2,3,mlp,0.0,gpt_neox,EleutherAI/pythia-160m,3.0912745921842513,3.1074469884236655,0.5015254342818006,0.11649336903057095,0.4992802153095074,0.11698065969831634,585216.0,4718592,0.055449330783938815,0.05927342256214149,0.39047655503107076,-1,-1,-1,0.33376960438326564,0.0,[0.33376960438326564],-1.0,-1,[-1]
24,0f16f1be-ad4b-4e40-9ad2-76266ddade8f,dep,16521,1522,15977,16,0.001,0,0,4,attn,0.0,gpt_neox,EleutherAI/pythia-160m,3.3648152197560957,3.396086653073629,0.13085511133287595,0.11632258466911995,0.14013894974025162,0.11698065969831634,191232.0,2359296,0.08540471637985979,0.10707456978967496,0.33749045377479686,-1,-1,-1,0.3235086765617531,0.0,[0.3235086765617531],-1.0,-1,[-1]
25,8bce6abf-db97-49ab-b2a0-dedeba5eaae3,dep,16521,1522,15977,16,0.001,0,1,4,attn,0.0,gpt_neox,EleutherAI/pythia-160m,3.3679657059331096,3.3969541788101196,0.13478450695440652,0.11632258466911995,0.14308067847530825,0.11698065969831634,194304.0,2359296,0.082855321861058,0.08986615678776291,0.3884891974386552,-1,-1,-1,0.31272422348032186,0.0,[0.31272422348032186],-1.0,-1,[-1]
26,7bad375b-dfd8-4519-be94-3a239f62de51,dep,16521,1522,15977,16,0.001,0,2,4,attn,0.0,gpt_neox,EleutherAI/pythia-160m,3.367433451837109,3.39842955271403,0.1310422254100917,0.11632258466911995,0.13882456030543908,0.11698065969831634,192000.0,2359296,0.07966857871255577,0.10006373486297004,0.39292025642078954,-1,-1,-1,0.4058310786503147,0.0,[0.4058310786503147],-1.0,-1,[-1]
27,c83a74f6-a2ce-42c1-b6f3-4a3db0f7b142,dep,16521,1522,15977,16,0.001,0,0,4,mlp,0.0,gpt_neox,EleutherAI/pythia-160m,3.1166570686524913,3.128886580467224,0.49903492933192206,0.11649336903057095,0.49627589660136445,0.11698065969831634,660480.0,4718592,0.10834926704907584,0.12810707456978968,0.21923540260018323,-1,-1,-1,0.18552009188650215,0.0,[0.18552009188650215],-1.0,-1,[-1]
28,6abf056c-5c47-4ec3-8015-ff990cae7978,dep,16521,1522,15977,16,0.001,0,1,4,mlp,0.0,gpt_neox,EleutherAI/pythia-160m,3.1176663021887503,3.134584665298462,0.509619575368906,0.11649336903057095,0.5082931714339363,0.11698065969831634,635904.0,4718592,0.11026131293817719,0.12237093690248566,0.2160779711089368,-1,-1,-1,0.1691738928557202,0.0,[0.1691738928557202],-1.0,-1,[-1]
29,8bf989d0-ad51-4d64-8458-25b611a20851,dep,16521,1522,15977,16,0.001,0,2,4,mlp,0.0,gpt_neox,EleutherAI/pythia-160m,3.1131723157821165,3.1272337436676025,0.495548222402092,0.11649336903057095,0.49846654565938536,0.11698065969831634,605184.0,4718592,0.11663479923518165,0.12173358827278521,0.23159329066085085,-1,-1,-1,0.19711867770698893,0.0,[0.19711867770698893],-1.0,-1,[-1]
30,3400bad8-689d-4270-8606-9def6f53af82,dep,16521,1522,15977,16,0.001,0,0,5,attn,0.0,gpt_neox,EleutherAI/pythia-160m,3.361102734842608,3.396095116933187,0.13004428366494106,0.11632258466911995,0.13970081992864744,0.11698065969831634,200448.0,2359296,0.07648183556405354,0.08667941363926067,0.42456692658540474,-1,-1,-1,0.3668571554831899,0.0,[0.3668571554831899],-1.0,-1,[-1]
31,10dbbbb4-f0fa-4b38-9c00-490691faa29c,dep,16521,1522,15977,16,0.001,0,1,5,attn,0.0,gpt_neox,EleutherAI/pythia-160m,3.3565904517327585,3.3858893314997354,0.14420258217426557,0.11632258466911995,0.1509670150841835,0.11698065969831634,205056.0,2359296,0.07074569789674952,0.07903123008285533,0.4381168868755975,-1,-1,-1,0.3477799930414476,0.0,[0.3477799930414476],-1.0,-1,[-1]
32,d9909cb4-fda1-49fb-a7c7-356a72aab013,dep,16521,1522,15977,16,0.001,0,2,5,attn,0.0,gpt_neox,EleutherAI/pythia-160m,3.361220936621389,3.394874374071757,0.14064741470716646,0.11632258466911995,0.15184327470739187,0.11698065969831634,191232.0,2359296,0.07074569789674952,0.08094327597195666,0.38263347910193596,-1,-1,-1,0.4398274661781987,0.0,[0.4398274661781987],-1.0,-1,[-1]
33,e9960de2-175c-4761-bab4-de6292cd9462,dep,16521,1522,15977,16,0.001,0,0,5,mlp,0.0,gpt_neox,EleutherAI/pythia-160m,3.119319192824825,3.1305617491404214,0.5040159392316792,0.11649336903057095,0.4995305752018527,0.11698065969831634,691200.0,4718592,0.11281070745697896,0.12555768005098789,0.23905307825695107,-1,-1,-1,0.20049467263060666,0.0,[0.20049467263060666],-1.0,-1,[-1]
34,e23996e3-3151-4237-bcca-ffda64d60a5d,dep,16521,1522,15977,16,0.001,0,1,5,mlp,0.0,gpt_neox,EleutherAI/pythia-160m,3.1128649750063495,3.126970410346985,0.49299545482846646,0.11649336903057095,0.48851473993866185,0.11698065969831634,640512.0,4718592,0.1147227533460803,0.1325685149776928,0.2075418213357433,-1,-1,-1,0.16694138322080146,0.0,[0.16694138322080146],-1.0,-1,[-1]
35,81e54d16-791f-44d2-964e-49009bd96899,dep,16521,1522,15977,16,0.001,0,2,5,mlp,0.0,gpt_neox,EleutherAI/pythia-160m,3.112675882154895,3.1281303564707437,0.5031442624992217,0.11649336903057095,0.49821618576704013,0.11698065969831634,640512.0,4718592,0.11854684512428298,0.13639260675589548,0.22378339700595523,-1,-1,-1,0.20096276443121613,0.0,[0.20096276443121613],-1.0,-1,[-1]
