,model_id,task,train length,test length,batch_size,lr,data_seed,model_seed,target_layer,operation,probe index,mask_init,model path,train loss,test loss,knn dev acc,dev majority acc,knn test acc,test majority acc,full model knn dev acc,full model knn test acc,L0 Norm,L0 Max, vanilla acc Test, ablated acc Test
0,cd314e43-3d79-4d60-85a9-a8cf9fa865ea,disambiguation,7500,5108,500,0.001,0,0,0,attn,2,0.0,../Model/Algorithmic_Train/Disambiguation/a2_minus_b2_2_layer/ba35f4aa-e742-4fa4-99af-14e4f10d653a_final,6.350675264994304,6.80204981023615,0.018139343135907655,0.0,0.01957713390759593,0.00019577133907595928,0.014978700013741927,0.017032106499608457,22016.0,65536,1.0,0.009397024275646046
1,9377f993-9f2a-4d46-8d81-1aea27560f36,disambiguation,7500,5108,500,0.001,0,0,0,mlp,2,0.0,../Model/Algorithmic_Train/Disambiguation/a2_minus_b2_2_layer/ba35f4aa-e742-4fa4-99af-14e4f10d653a_final,6.321287759145101,6.753685907884077,0.016215473409371992,0.0,0.017619420516836334,0.00019577133907595928,0.011818056891576199,0.013116679718089271,49920.0,131072,1.0,0.034064212999216914
2,140c2e60-8d31-4551-a5a4-5c5933929aac,disambiguation,7500,5108,500,0.001,0,0,1,attn,2,0.0,../Model/Algorithmic_Train/Disambiguation/a2_minus_b2_2_layer/ba35f4aa-e742-4fa4-99af-14e4f10d653a_final,6.37771946589152,6.842655962163752,0.0,0.0,0.00019577133907595928,0.00019577133907595928,0.006733544042874811,0.007830853563038372,0.0,65536,1.0,1.0
3,f0124a8b-20d9-4145-9522-741a1cebf482,disambiguation,7500,5108,500,0.001,0,0,1,mlp,2,0.0,../Model/Algorithmic_Train/Disambiguation/a2_minus_b2_2_layer/ba35f4aa-e742-4fa4-99af-14e4f10d653a_final,6.3046647071838375,6.7346013676036485,0.006321286244331455,0.0,0.005090054815974941,0.00019577133907595928,0.003985158719252439,0.0033281127642913076,53248.0,131072,1.0,0.8966327329678935
