,model_id,train length,test length,batch_size,lr,data_seed,model_seed,target_layer,operation,probe index,model path,train loss,test loss,train acc,test acc
0,5103ce90-da9b-46bd-be8a-acc010b8214c,4000,8300,500,0.1,0,0,0,attn,2,../Model/Algorithmic_Train/Grokking/a2_b/568e7cac-54d6-4f6e-a4fc-2065f0a8debe_999,0.052827481646090746,0.08674658265183954,1.0,0.9975903630256653
1,57b2718a-66a4-4828-9432-0248f5d71981,4000,8300,500,0.1,0,0,0,mlp,2,../Model/Algorithmic_Train/Grokking/a2_b/568e7cac-54d6-4f6e-a4fc-2065f0a8debe_999,2.617316871881485,2.7966599043677833,0.41850000619888306,0.32783132791519165
