,model_id,label,train length,dev length,test length,batch_size,lr,seed,target_layer,mask_init,model,model path,train loss,dev loss,knn dev acc,dev majority acc,knn test acc,test majority acc,L0 Norm,L0 Max,vanilla acc,ablated acc,kl,mlm vanilla acc,mlm ablated acc,mlm kl
0,0a904330-9463-4cb1-8ba9-4118ac526c0d,dep,16683,1599,15977,4,0.001,0,0,1.0,gpt2,gpt2-medium,4.475541556358338,4.290767526626587,0.21720323796576654,0.11666563677933633,0.2222569944294924,0.11698065969831634,8388608.0,8388608,0.0,0.0,0.18812913466523667,-1,-1,-1
1,d1e24f1e-0ff2-43b6-a832-2407d09c30b7,dep,16683,1599,15977,4,0.001,0,1,1.0,gpt2,gpt2-medium,4.497500118255616,4.309467325210571,0.2237533213866403,0.11666563677933633,0.2250109532452901,0.11698065969831634,8388608.0,8388608,0.0,0.0,0.09604144918507543,-1,-1,-1
2,535cf68e-f758-46c0-b464-073b87b1e3bc,dep,16683,1599,15977,4,0.001,0,2,1.0,gpt2,gpt2-medium,4.509525522232056,4.32188793182373,0.22288821602916642,0.11666563677933633,0.2260123928146711,0.11698065969831634,8388608.0,8388608,0.0,0.0,0.06249289677060883,-1,-1,-1
3,3b61976a-7a01-421e-86b3-6c8d28b475f4,dep,16683,1599,15977,4,0.001,0,3,1.0,gpt2,gpt2-medium,4.518098156929016,4.329446001052856,0.2208490391151208,0.11666563677933633,0.22751455216874256,0.11698065969831634,8388608.0,8388608,0.0,0.0,0.04533582301440763,-1,-1,-1
4,3995eb59-0070-4667-957a-55210ba46407,dep,16683,1599,15977,4,0.001,0,4,1.0,gpt2,gpt2-medium,4.518190629005432,4.330680513381958,0.21738861768522524,0.11666563677933633,0.22350879389121864,0.11698065969831634,8388608.0,8388608,0.0,0.0,0.03323945521377633,-1,-1,-1
5,54f1ec16-2872-49d1-b1ae-be5d1e3cff18,dep,16683,1599,15977,4,0.001,0,5,1.0,gpt2,gpt2-medium,4.523016695022583,4.333419713973999,0.20867577087066674,0.11666563677933633,0.21487137760530764,0.11698065969831634,8388608.0,8388608,0.0,0.0,0.026528156804200807,-1,-1,-1
6,33e724a5-0952-4f23-a245-ec5479e09deb,dep,16683,1599,15977,4,0.001,0,6,1.0,gpt2,gpt2-medium,4.51996226978302,4.330792245864868,0.21065315454489278,0.11666563677933633,0.21405770795518558,0.11698065969831634,8388608.0,8388608,0.0,0.0,0.020844384455882502,-1,-1,-1
7,a15a1820-2f66-46cf-b313-d98f806a56a3,dep,16683,1599,15977,4,0.001,0,7,1.0,gpt2,gpt2-medium,4.527656553268432,4.337276315689087,0.205524315639869,0.11666563677933633,0.21349439819740879,0.11698065969831634,8388608.0,8388608,0.0,0.0,0.0212441905411948,-1,-1,-1
8,a10dc0a2-2845-4f25-8aba-10b89225f9fb,dep,16683,1599,15977,4,0.001,0,8,1.0,gpt2,gpt2-medium,4.528242163658142,4.338798484802246,0.20373231168510164,0.11666563677933633,0.21512173749765287,0.11698065969831634,8388608.0,8388608,0.0,0.0,0.01815985764631918,-1,-1,-1
9,d9729bd4-8513-4b86-bafb-6c981d1e1866,dep,16683,1599,15977,4,0.001,0,9,1.0,gpt2,gpt2-medium,4.529104181289673,4.338284826278686,0.2015695482914169,0.11666563677933633,0.21017712962383425,0.11698065969831634,8388608.0,8388608,0.0,0.0,0.016235761077821292,-1,-1,-1
10,1aee3912-41da-4912-a9bd-9a67a2feef91,dep,16683,1599,15977,4,0.001,0,10,1.0,gpt2,gpt2-medium,4.530715379714966,4.339927635192871,0.19569919050855836,0.11666563677933633,0.2048569819114978,0.11698065969831634,8388608.0,8388608,0.0,0.0,0.014067610751209743,-1,-1,-1
11,e3ea0ce0-a6cc-411b-a660-30e37269ca5e,dep,16683,1599,15977,4,0.001,0,11,1.0,gpt2,gpt2-medium,4.5354349203109745,4.343254690170288,0.19483408515108447,0.11666563677933633,0.20729799086186393,0.11698065969831634,8388608.0,8388608,0.0,0.0,0.013851910344795817,-1,-1,-1
12,713dc2d2-1799-4116-bae3-d90584555916,dep,16683,1599,15977,4,0.001,0,12,1.0,gpt2,gpt2-medium,4.53537123298645,4.344066181182861,0.1886547611691281,0.11666563677933633,0.2076735307003818,0.11698065969831634,8388608.0,8388608,0.0,0.0,0.011868637571415501,-1,-1,-1
13,70409866-a732-4098-9c95-ee2bef4b9d5e,dep,16683,1599,15977,4,0.001,0,13,1.0,gpt2,gpt2-medium,4.533086040496826,4.342723293304443,0.18210467774825434,0.11666563677933633,0.1964073355448457,0.11698065969831634,8388608.0,8388608,0.0,0.0,0.010475575652460658,-1,-1,-1
14,9044166d-0204-47d3-90b8-ef27292f19b5,dep,16683,1599,15977,4,0.001,0,14,1.0,gpt2,gpt2-medium,4.535806285858154,4.34433126449585,0.18037446703330656,0.11666563677933633,0.2022282030418727,0.11698065969831634,8388608.0,8388608,0.0,0.0,0.010528782861296356,-1,-1,-1
15,d55e3048-0904-4c6a-8c5e-35232b0e6bd9,dep,16683,1599,15977,4,0.001,0,15,1.0,gpt2,gpt2-medium,4.536021907806396,4.344907646179199,0.17802632392016313,0.11666563677933633,0.20204043312261374,0.11698065969831634,8388608.0,8388608,0.0,0.0,0.00967870723448873,-1,-1,-1
16,a3ad0ac7-43b8-44e3-961c-13ca231cf927,dep,16683,1599,15977,4,0.001,0,16,1.0,gpt2,gpt2-medium,4.537210610389709,4.345830192565918,0.17524562812828276,0.11666563677933633,0.1957188458408963,0.11698065969831634,8388608.0,8388608,0.0,0.0,0.008836077340795534,-1,-1,-1
17,d1779986-a35c-4ebb-a4a1-c13a0c884b6e,dep,16683,1599,15977,4,0.001,0,17,1.0,gpt2,gpt2-medium,4.539218115806579,4.3475627517700195,0.17172341345856762,0.11666563677933633,0.1930900669712712,0.11698065969831634,8388608.0,8388608,0.0,0.0,0.008065627624869114,-1,-1,-1
18,b7151ba0-64b9-4621-8ae9-65614fdad1d4,dep,16683,1599,15977,4,0.001,0,18,1.0,gpt2,gpt2-medium,4.53530373096466,4.34419358253479,0.1691898906259655,0.11666563677933633,0.19233898729423546,0.11698065969831634,8388608.0,8388608,0.0,0.0,0.007366395105226674,-1,-1,-1
19,3dbf7dcc-c4fe-4494-879b-3c46c3261bbe,dep,16683,1599,15977,4,0.001,0,19,1.0,gpt2,gpt2-medium,4.538172127723694,4.346417827606201,0.16671816103318296,0.11666563677933633,0.19071164799399137,0.11698065969831634,8388608.0,8388608,0.0,0.0,0.0073038801095201816,-1,-1,-1
20,3f380bd2-94ee-4f43-bef9-e1c7df15e61c,dep,16683,1599,15977,4,0.001,0,20,1.0,gpt2,gpt2-medium,4.540684616088867,4.348712797164917,0.16016807761230922,0.11666563677933633,0.18201164173499407,0.11698065969831634,8388608.0,8388608,0.0,0.0,0.007198028465176683,-1,-1,-1
21,05e11a3a-e961-43eb-8b19-9573ed91a71f,dep,16683,1599,15977,4,0.001,0,21,1.0,gpt2,gpt2-medium,4.53798645401001,4.345908327102661,0.16659457455354384,0.11666563677933633,0.19784690492583087,0.11698065969831634,8388608.0,8388608,0.0,0.0,0.006551236243859156,-1,-1,-1
22,2a6478d9-df93-4afe-b5ec-a80bdca9ba46,dep,16683,1599,15977,4,0.001,0,22,1.0,gpt2,gpt2-medium,4.539493478775024,4.347929859161377,0.1589940060557375,0.11666563677933633,0.18107279213869937,0.11698065969831634,8388608.0,8388608,0.0,0.0,0.006192520677694347,-1,-1,-1
23,ee224c96-6c12-46e9-9b60-8bc01d27aad1,dep,16683,1599,15977,4,0.001,0,23,1.0,gpt2,gpt2-medium,4.540771668434143,4.349154195785522,0.16029166409194834,0.11666563677933633,0.18914689866683357,0.11698065969831634,8388608.0,8388608,0.0,0.0,0.005951830529515124,-1,-1,-1
