,model_id,data_seed,target_layer,target_position,residual_location,model path,counterfactual accuracy,original model accuracy,logit diff,% Samples with Diff Counterfactual label
0,e5a9a08d-e7ec-43c5-9098-259ce4401331,0,0,0,resid_mid,../Model/Algorithmic_Train/Disambiguation/a2_minus_b2_2_layer/ba35f4aa-e742-4fa4-99af-14e4f10d653a_final,0.015857478465152702,1.0,0.9867049599838146,0.9841425215348473
1,02286b85-189c-46e3-a20b-3c3b7e1a9370,0,0,0,resid_post,../Model/Algorithmic_Train/Disambiguation/a2_minus_b2_2_layer/ba35f4aa-e742-4fa4-99af-14e4f10d653a_final,0.015857478465152702,1.0,0.9867049599838146,0.9841425215348473
2,a33a237f-6993-4ac1-a347-098f71b7b2c7,0,0,1,resid_mid,../Model/Algorithmic_Train/Disambiguation/a2_minus_b2_2_layer/ba35f4aa-e742-4fa4-99af-14e4f10d653a_final,0.015857478465152702,1.0,0.9848391191852028,0.9841425215348473
3,7d148aea-fc86-4e12-84ee-3a00214fcd9a,0,0,1,resid_post,../Model/Algorithmic_Train/Disambiguation/a2_minus_b2_2_layer/ba35f4aa-e742-4fa4-99af-14e4f10d653a_final,0.015857478465152702,1.0,0.9848391191852028,0.9841425215348473
4,72f200f3-9a2c-4552-8538-03fd02542ae9,0,0,2,resid_mid,../Model/Algorithmic_Train/Disambiguation/a2_minus_b2_2_layer/ba35f4aa-e742-4fa4-99af-14e4f10d653a_final,0.017815191855912293,1.0,-0.008510202039766934,0.9841425215348473
5,242e379f-69b9-4247-bd09-e74240ff4761,0,0,2,resid_post,../Model/Algorithmic_Train/Disambiguation/a2_minus_b2_2_layer/ba35f4aa-e742-4fa4-99af-14e4f10d653a_final,0.017815191855912293,1.0,-0.008510202039766934,0.9841425215348473
6,7a06f678-2710-46e5-9f12-16a19d4c14cc,0,1,0,resid_mid,../Model/Algorithmic_Train/Disambiguation/a2_minus_b2_2_layer/ba35f4aa-e742-4fa4-99af-14e4f10d653a_final,0.015857478465152702,1.0,1.0,0.9841425215348473
7,92e4b81c-f22a-449a-b18a-ce6943249cc7,0,1,0,resid_post,../Model/Algorithmic_Train/Disambiguation/a2_minus_b2_2_layer/ba35f4aa-e742-4fa4-99af-14e4f10d653a_final,0.015857478465152702,1.0,1.0,0.9841425215348473
8,f0b44ce7-72b3-4e47-b45c-4b38626611fd,0,1,1,resid_mid,../Model/Algorithmic_Train/Disambiguation/a2_minus_b2_2_layer/ba35f4aa-e742-4fa4-99af-14e4f10d653a_final,0.015857478465152702,1.0,1.0,0.9841425215348473
9,1d938a97-da11-4b96-a241-985ff6288c49,0,1,1,resid_post,../Model/Algorithmic_Train/Disambiguation/a2_minus_b2_2_layer/ba35f4aa-e742-4fa4-99af-14e4f10d653a_final,0.015857478465152702,1.0,1.0,0.9841425215348473
10,d365506d-4765-4aa9-95e4-eb33f7b20e10,0,1,2,resid_mid,../Model/Algorithmic_Train/Disambiguation/a2_minus_b2_2_layer/ba35f4aa-e742-4fa4-99af-14e4f10d653a_final,0.017815191855912293,1.0,-0.00960538396186735,0.9841425215348473
11,417aefc7-2f40-46ec-b2d9-e9ce0cf51764,0,1,2,resid_post,../Model/Algorithmic_Train/Disambiguation/a2_minus_b2_2_layer/ba35f4aa-e742-4fa4-99af-14e4f10d653a_final,0.017815191855912293,1.0,-0.00960538396186735,0.9841425215348473
