,model_id,label,train length,dev length,test length,batch_size,lr,seed,target_layer,mask_init,model,model path,train loss,dev loss,knn dev acc,dev majority acc,knn test acc,test majority acc,L0 Norm,L0 Max,vanilla acc,ablated acc,kl,mlm vanilla acc,mlm ablated acc,mlm kl,random ablate acc,random ablate kl,random ablate mlm acc,random ablate mlm kl
0,9ea5333f-806d-4ed0-8460-4f8b85834b8e,tag,16521,1522,15977,16,0.001,0,0,0.0,bert,google/multiberts-seed_0-step_2000k,1.8753172409149907,1.8782852093378704,0.640184297366291,0.1643733266919868,0.6309695186831069,0.16880515741378233,312953.0,4718592,0.0,0.0,0.010139415950836873,0.0,0.0,0.009337312118573622,0.0,0.0027599161882616557,0.0,0.0027270513502034273
1,cac8e1e1-d701-4c85-9612-2f0bdca19e22,tag,16521,1522,15977,16,0.001,0,1,0.0,bert,google/multiberts-seed_0-step_2000k,1.8775834941094922,1.8831986983617146,0.636697590436461,0.1643733266919868,0.6277148400826188,0.16880515741378233,320603.0,4718592,0.0,0.0,0.012145936836316748,0.0,0.0,0.010441346602006392,0.0,0.002774793507597593,0.0,0.0027954978021708403
2,f20d93d7-7f8f-413b-a0c4-31ae0272f92e,tag,16521,1522,15977,16,0.001,0,2,0.0,bert,google/multiberts-seed_0-step_2000k,1.8723481085992628,1.882882555325826,0.6512047817695038,0.1643733266919868,0.6340990173374226,0.16880515741378233,343498.0,4718592,0.0,0.0,0.01974983709143975,0.0,0.0,0.01534316756508567,0.0,0.0031960465761450116,0.0,0.0025837136940522628
3,89395395-d3e5-44f3-96fb-aee00357ac6a,tag,16521,1522,15977,16,0.001,0,3,0.0,bert,google/multiberts-seed_0-step_2000k,1.8718184405757534,1.882716437180837,0.6552518523130565,0.1643733266919868,0.6411716842961758,0.16880515741378233,361591.0,4718592,0.0,0.0,0.025649496035282666,0.0,0.0007102272727272727,0.02032704922285947,0.0,0.0036555944522993463,0.0,0.003375304693525488
4,9f3d5923-e53e-40f0-aa56-1363a85fb3c5,tag,16521,1522,15977,16,0.001,0,4,0.0,bert,google/multiberts-seed_0-step_2000k,1.8678149542500895,1.8813326756159465,0.6544424382043459,0.1643733266919868,0.6290292295174313,0.16880515741378233,383305.0,4718592,0.0,0.0,0.026649647931836568,0.0,0.0,0.021984449841759422,0.0,0.003659437235119273,0.0,0.003316661850972609
5,1a87363e-bfdd-44c6-8deb-2ee1ffeaf58a,tag,16521,1522,15977,16,0.001,0,5,0.0,bert,google/multiberts-seed_0-step_2000k,1.867746720390935,1.8826133608818054,0.6690118921611357,0.1643733266919868,0.641234274269262,0.16880515741378233,399214.0,4718592,0.0,0.0,0.028954278149651094,0.0,0.0,0.023591447960246693,0.0,0.003971624528705881,0.0,0.0036938488483428955
6,145f78f7-5a0e-4f58-803a-2099bfa40146,tag,16521,1522,15977,16,0.001,0,6,0.0,bert,google/multiberts-seed_0-step_2000k,1.8651940534191747,1.8827471534411113,0.6850133864641056,0.1643733266919868,0.6481191713087563,0.16880515741378233,421969.0,4718592,0.0,0.0,0.036634774809902154,0.0,0.0,0.03067768703807484,0.0,0.004429649612278614,0.0,0.004481556740674106
7,d77b5d35-c220-44e0-be00-a35e20ff1bb6,tag,16521,1522,15977,16,0.001,0,7,0.0,bert,google/multiberts-seed_0-step_2000k,1.865937363716864,1.8848730723063152,0.6766701948820123,0.1643733266919868,0.6402328346998811,0.16880515741378233,442929.0,4718592,0.0,0.0,0.04120841659002705,0.0,0.0,0.039325491948561234,0.0,0.004582216207263539,0.0,0.004513916644183072
8,8262b565-790f-4cb9-87c9-c064f4da8a88,tag,16521,1522,15977,16,0.001,0,8,0.0,bert,google/multiberts-seed_0-step_2000k,1.8645494714859994,1.8849266568819683,0.6731834879521823,0.1643733266919868,0.6352882268260625,0.16880515741378233,458788.0,4718592,0.0,0.0,0.042145323521882584,0.0,0.0007102272727272727,0.046858657490123405,0.0,0.005094857200449724,0.0,0.004977513443339954
9,3ddc1f19-5bcc-400d-bff4-fa40cf297346,tag,16521,1522,15977,16,0.001,0,9,0.0,bert,google/multiberts-seed_0-step_2000k,1.8649856390491608,1.8882591724395752,0.6818379926530104,0.1643733266919868,0.646241472116167,0.16880515741378233,474745.0,4718592,0.0,0.0,0.04324232675496814,0.0,0.0,0.04266271266070279,0.0,0.0052337813145906025,0.0,0.005536424842747775
10,3ce5f984-1047-4ed2-b59b-f482cc2f39b5,tag,16521,1522,15977,16,0.001,0,10,0.0,bert,google/multiberts-seed_0-step_2000k,1.8658480317361894,1.889208157857259,0.6778531847332047,0.1643733266919868,0.641234274269262,0.16880515741378233,492099.0,4718592,0.0,0.0,0.041356942877414545,0.0,0.0,0.03553747047077526,0.0,0.005144612148741688,0.0,0.005487227643078024
11,0fa53d03-c4f3-4dc0-a780-cbb5592b47e1,tag,16521,1522,15977,16,0.001,0,11,0.0,bert,google/multiberts-seed_0-step_2000k,1.8688312884299987,1.8937432169914246,0.6876906792852251,0.1643733266919868,0.651874569693935,0.16880515741378233,506486.0,4718592,0.0,0.0,0.04315722320457878,0.0,0.0,0.03797063502398404,0.0,0.00569973794387768,0.0,0.006262007084759799
