,model_id,label,train length,dev length,test length,batch_size,lr,seed,target_layer,mask_init,model,model path,train loss,dev loss,knn dev acc,dev majority acc,knn test acc,test majority acc,L0 Norm,L0 Max,vanilla acc,ablated acc,kl,mlm vanilla acc,mlm ablated acc,mlm kl
0,96c2a7da-5b30-4b75-8569-01cc00ce8ba9,dep,16337,1589,16351,16,0.001,0,0,0.0,bert,bert-base-uncased,2.8004622074865524,2.8432290156682334,0.46747788998306467,0.11704196198958791,0.45428414164271297,0.11528346890098465,381113.0,4718592,0.0,0.0,0.01106490697169807,0.0,0.0,0.008782073514625089
1,c85e5d14-0f6d-4241-99f0-86ab81a9fcdc,dep,16337,1589,16351,16,0.001,0,1,0.0,bert,bert-base-uncased,2.802717278080602,2.84353760878245,0.4721821489054758,0.11704196198958791,0.4538560332701364,0.11528346890098465,393189.0,4718592,0.0,0.0,0.017229603551417436,0.0,0.0,0.01556337003648405
2,51e01cf9-c059-4809-8d77-529c9a022857,dep,16337,1589,16351,16,0.001,0,2,0.0,bert,bert-base-uncased,2.8000044899602092,2.844500462214152,0.47061406259800537,0.11704196198958791,0.4518378080851324,0.11528346890098465,412907.0,4718592,0.0,0.0005704506560182544,0.02703059012047985,0.0,0.0,0.023755750966749502
3,42504205-e1c2-4603-8cef-88c0c84b6ec4,dep,16337,1589,16351,16,0.001,0,3,0.0,bert,bert-base-uncased,2.8047289002326226,2.845881779988607,0.48121432603650505,0.11704196198958791,0.46302978411106355,0.11528346890098465,426327.0,4718592,0.0,0.0,0.029384828470668586,0.0,0.0,0.02671930811426661
4,374be92c-cdac-4fdb-a0d5-d3f83c90f603,dep,16337,1589,16351,16,0.001,0,4,0.0,bert,bert-base-uncased,2.8053691271812684,2.845569888750712,0.4810888791319074,0.11704196198958791,0.4602776588587854,0.11528346890098465,441860.0,4718592,0.0,0.0,0.038461253225497365,0.0,0.0,0.034234372758237507
5,adb1869c-6426-44ac-a83c-06d9fbf73f17,dep,16337,1589,16351,16,0.001,0,5,0.0,bert,bert-base-uncased,2.8092979115824543,2.8504123290379844,0.4765727905663928,0.11704196198958791,0.46015534218090637,0.11528346890098465,457245.0,4718592,0.0,0.0,0.035712231790006196,0.0,0.0,0.032482604557494694
6,380f67c8-ced7-49e6-b360-f33701a9b9d6,dep,16337,1589,16351,16,0.001,0,6,0.0,bert,bert-base-uncased,2.8125871573725054,2.854596575101217,0.4703631687888101,0.11704196198958791,0.45501804170998716,0.11528346890098465,462486.0,4718592,0.0,0.0,0.03543826558558654,0.0,0.0,0.03214265502168334
7,e637af4e-5719-4b33-aaba-2ef51d1c81b6,dep,16337,1589,16351,16,0.001,0,7,0.0,bert,bert-base-uncased,2.8163444265242545,2.855510711669922,0.470425892241109,0.11704196198958791,0.45428414164271297,0.11528346890098465,467213.0,4718592,0.0,0.0,0.029729356782067794,0.0,0.0,0.027768812490187002
8,489bbffc-4f18-40cc-8bd2-bfaa36310633,dep,16337,1589,16351,16,0.001,0,8,0.0,bert,bert-base-uncased,2.821393436001193,2.856943925221761,0.47130402057329235,0.11704196198958791,0.4534279248975598,0.11528346890098465,486381.0,4718592,0.0,0.0,0.03898945279075157,0.0,0.0,0.03929233881473872
9,c51a279f-5d68-455d-ac80-9a71002ec89e,dep,16337,1589,16351,16,0.001,0,9,0.0,bert,bert-base-uncased,2.8239821503239293,2.8600138425827026,0.47230759581007337,0.11704196198958791,0.4569751085560516,0.11528346890098465,496091.0,4718592,0.0,0.0,0.047186181807749215,0.0,0.0,0.0437576389114475
10,597ddbd0-74d0-44c0-9247-7171ba711fc9,dep,16337,1589,16351,16,0.001,0,10,0.0,bert,bert-base-uncased,2.829791922723093,2.865388830502828,0.4720567020008781,0.11704196198958791,0.4593602837746927,0.11528346890098465,504094.0,4718592,0.0,0.0,0.03801004830864723,0.0,0.0,0.03231162786979437
11,6ec89a2a-5746-4770-ba4e-6bf8ac2c4e93,dep,16337,1589,16351,16,0.001,0,11,0.0,bert,bert-base-uncased,2.83176810895243,2.86709992090861,0.47563193878191057,0.11704196198958791,0.45196012476301145,0.11528346890098465,517960.0,4718592,0.0,0.0,0.04437862119875972,0.0,0.0,0.03968515482034769
