,model_id,task,train length,test length,batch_size,lr,data_seed,model_seed,target_layer,operation,probe index,mask_init,model path,train loss,test loss,knn dev acc,dev majority acc,knn test acc,test majority acc,full model knn dev acc,full model knn test acc,L0 Norm,L0 Max, vanilla acc IID, ablated acc IID,random ablate acc mean IID,random ablate acc std IID
0,e1c1bb9a-8b39-4cdb-9d85-fa44b0452287,syntactic_number,2000,1000,500,0.001,0,0,0,attn,-1,0.0,gpt2,0.6945830583572388,0.6951452493667603,0.5015015015015015,0.5015015015015015,0.5,0.5,0.5515515515515516,0.536,0.0,2359296,0.953,0.953,0.953,0.0
1,e6912455-765f-4fef-82ce-c91cadb881cb,syntactic_number,2000,1000,500,0.001,0,0,0,mlp,-1,0.0,gpt2,0.2520911507308483,0.25106676667928696,1.0,0.5015015015015015,1.0,0.5,0.7117117117117117,0.697,377856.0,4718592,0.953,0.512,0.9263999999999999,0.023601694854395495
2,f57e929d-1c59-408f-acea-2858ed8c3138,syntactic_number,2000,1000,500,0.001,0,0,1,attn,-1,0.0,gpt2,0.26598163694143295,0.2778102606534958,1.0,0.5015015015015015,0.998,0.5,0.5265265265265265,0.521,373248.0,2359296,0.953,0.899,0.9330000000000002,0.011331372379372198
3,4d59b035-bfc9-4b04-8516-60a1286edffd,syntactic_number,2000,1000,500,0.001,0,0,1,mlp,-1,0.0,gpt2,0.30607662349939346,0.30514363944530487,1.0,0.5015015015015015,1.0,0.5,0.5380380380380381,0.517,360192.0,4718592,0.953,0.93,0.9475999999999999,0.00902441133814275
4,bbdfb9be-dcf0-443d-b335-23d638f3a6bf,syntactic_number,2000,1000,500,0.001,0,0,2,attn,-1,0.0,gpt2,0.3384244218468666,0.3424094617366791,1.0,0.5015015015015015,1.0,0.5,0.508008008008008,0.499,433152.0,2359296,0.953,0.917,0.9374,0.02006589145789439
5,a883b45c-1cf2-460e-8c8e-92c5cd1a94fd,syntactic_number,2000,1000,500,0.001,0,0,2,mlp,-1,0.0,gpt2,0.4036126583814621,0.4058593660593033,1.0,0.5015015015015015,1.0,0.5,0.7162162162162162,0.703,269568.0,4718592,0.953,0.909,0.9522,0.004166533331199936
6,095bef38-197d-4d42-b213-e43beba2c457,syntactic_number,2000,1000,500,0.001,0,0,3,attn,-1,0.0,gpt2,0.17904994636774063,0.18014513701200485,1.0,0.5015015015015015,1.0,0.5,0.494994994994995,0.48,390144.0,2359296,0.953,0.976,0.942,0.013535139452550875
7,7ad92d90-aab8-4a77-88eb-728c250572f4,syntactic_number,2000,1000,500,0.001,0,0,3,mlp,-1,0.0,gpt2,0.25447190552949905,0.2557523101568222,1.0,0.5015015015015015,1.0,0.5,0.6226226226226226,0.618,228096.0,4718592,0.953,0.943,0.9559999999999998,0.004242640687119289
8,afd400f8-3539-475c-ab9a-0c3310a72be0,syntactic_number,2000,1000,500,0.001,0,0,4,attn,-1,0.0,gpt2,0.189540047198534,0.1893274337053299,1.0,0.5015015015015015,1.0,0.5,0.5095095095095095,0.495,420096.0,2359296,0.953,0.963,0.9346,0.016353592877407667
9,9e052f5b-4f30-4189-88e9-25cea3c2a57e,syntactic_number,2000,1000,500,0.001,0,0,4,mlp,-1,0.0,gpt2,0.5522373467683792,0.5521044731140137,1.0,0.5015015015015015,1.0,0.5,0.6236236236236237,0.601,437760.0,4718592,0.953,0.954,0.944,0.008876936408468828
