,model_id,task,train length,test length,batch_size,lr,data_seed,model_seed,target_layer,operation,probe index,mask_init,model path,train loss,test loss,knn dev acc,dev majority acc,knn test acc,test majority acc,full model knn dev acc,full model knn test acc,L0 Norm,L0 Max, vanilla acc Male IID, ablated acc Male IID,random ablate acc mean Male IID,random ablate acc std Male IID, vanilla acc Male Gen, ablated acc Male Gen,random ablate acc mean Male Gen,random ablate acc std Male Gen, vanilla acc Female IID, ablated acc Female IID,random ablate acc mean Female IID,random ablate acc std Female IID, vanilla acc Female Gen, ablated acc Female Gen,random ablate acc mean Female Gen,random ablate acc std Female Gen
0,d503756d-276f-4f5a-b7d8-23dfb73d8408,reflexive,2000,1000,500,0.001,0,0,0,attn,-1,0.0,gpt2-medium,0.6580038368701935,0.6567273437976837,0.7932932932932933,0.48598598598598597,0.788,0.511,0.551051051051051,0.524,1189888.0,4194304,0.904,0.921,0.8926000000000001,0.004079215610874232,0.9928571428571429,1.0,0.9971428571428571,0.003499271061118814,0.791,0.793,0.7784,0.004498888751680801,0.9785714285714285,0.9785714285714285,0.9771428571428571,0.002857142857142847
1,813142e4-9fe0-43ea-bf37-9e1fe79948a8,reflexive,2000,1000,500,0.001,0,0,0,mlp,-1,0.0,gpt2-medium,0.6943968534469604,0.6924580037593842,0.48598598598598597,0.48598598598598597,0.511,0.511,0.511011011011011,0.496,0.0,8388608,0.904,0.904,0.9040000000000001,1.1102230246251565e-16,0.9928571428571429,0.9928571428571429,0.9928571428571429,0.0,0.791,0.791,0.791,0.0,0.9785714285714285,0.9785714285714285,0.9785714285714284,1.1102230246251565e-16
2,a157752c-84fa-4659-bdd4-f648e1b48c65,reflexive,2000,1000,500,0.001,0,0,1,attn,-1,0.0,gpt2-medium,0.4206365570425987,0.4183153361082077,0.9824824824824825,0.48598598598598597,0.974,0.511,0.5305305305305306,0.534,794624.0,4194304,0.904,0.903,0.9094,0.0027276363393971734,0.9928571428571429,0.9928571428571429,0.9971428571428571,0.0034992710611188135,0.791,0.798,0.7888,0.007520638270785273,0.9785714285714285,0.9785714285714285,0.9785714285714284,1.1102230246251565e-16
3,12a8ab31-c610-45fb-a254-007e5e954ea0,reflexive,2000,1000,500,0.001,0,0,1,mlp,-1,0.0,gpt2-medium,0.6419224590063095,0.6425198316574097,0.7787787787787788,0.48598598598598597,0.757,0.511,0.5065065065065065,0.495,371712.0,8388608,0.904,0.912,0.8404,0.11284077277296538,0.9928571428571429,1.0,0.9971428571428571,0.0034992710611188135,0.791,0.795,0.7868,0.005268775948927801,0.9785714285714285,0.9785714285714285,0.9800000000000001,0.0028571428571428914
4,627a67a0-0464-4420-8b7b-94f1ccbb6e4c,reflexive,2000,1000,500,0.001,0,0,2,attn,-1,0.0,gpt2-medium,0.6448832005262375,0.6417039930820465,0.8833833833833834,0.48598598598598597,0.871,0.511,0.5335335335335335,0.514,951296.0,4194304,0.904,0.914,0.892,0.007071067811865481,0.9928571428571429,0.9857142857142858,0.9942857142857143,0.0028571428571428467,0.791,0.763,0.7888,0.007782030583337494,0.9785714285714285,0.9785714285714285,0.9771428571428571,0.002857142857142847
5,28d91c29-6264-4ade-a674-f5957705cc01,reflexive,2000,1000,500,0.001,0,0,2,mlp,-1,0.0,gpt2-medium,0.6943968534469604,0.6924580037593842,0.48598598598598597,0.48598598598598597,0.511,0.511,0.512012012012012,0.515,4096.0,8388608,0.904,0.903,0.9039999999999999,0.0008944271909999167,0.9928571428571429,1.0,0.9928571428571429,0.0,0.791,0.788,0.7894,0.001743559577416271,0.9785714285714285,0.9785714285714285,0.9785714285714284,1.1102230246251565e-16
6,2f496f6d-f93c-46dd-862c-24a3027e09a3,reflexive,2000,1000,500,0.001,0,0,3,attn,-1,0.0,gpt2-medium,0.4695810526609421,0.4643680304288864,0.9694694694694694,0.48598598598598597,0.972,0.511,0.496996996996997,0.493,989184.0,4194304,0.904,0.9,0.8774,0.012289833196589784,0.9928571428571429,0.9928571428571429,0.9928571428571429,0.0,0.791,0.787,0.7826000000000001,0.010518555033843774,0.9785714285714285,0.9785714285714285,0.9742857142857142,0.005714285714285694
7,bcf53204-b2b0-4163-a0c8-dabcf2295287,reflexive,2000,1000,500,0.001,0,0,3,mlp,-1,0.0,gpt2-medium,0.6943968534469604,0.6924580037593842,0.48598598598598597,0.48598598598598597,0.511,0.511,0.5015015015015015,0.502,0.0,8388608,0.904,0.904,0.9040000000000001,1.1102230246251565e-16,0.9928571428571429,0.9928571428571429,0.9928571428571429,0.0,0.791,0.791,0.791,0.0,0.9785714285714285,0.9785714285714285,0.9785714285714284,1.1102230246251565e-16
8,4f29b946-2108-4d85-a7f7-4a3b2e240fc3,reflexive,2000,1000,500,0.001,0,0,4,attn,-1,0.0,gpt2-medium,0.3019554391503334,0.30884942412376404,0.991991991991992,0.48598598598598597,0.988,0.511,0.512012012012012,0.474,1041408.0,4194304,0.904,0.901,0.9082000000000001,0.010166612021711076,0.9928571428571429,0.9928571428571429,0.9957142857142858,0.0034992710611188135,0.791,0.783,0.7844000000000001,0.009350935782048776,0.9785714285714285,0.9785714285714285,0.9785714285714284,1.1102230246251565e-16
9,b8828132-7a0f-4cb1-8f9d-9778d18fcc3b,reflexive,2000,1000,500,0.001,0,0,4,mlp,-1,0.0,gpt2-medium,0.6943968534469604,0.6924580037593842,0.48598598598598597,0.48598598598598597,0.511,0.511,0.5005005005005005,0.517,0.0,8388608,0.904,0.904,0.9040000000000001,1.1102230246251565e-16,0.9928571428571429,0.9928571428571429,0.9928571428571429,0.0,0.791,0.791,0.791,0.0,0.9785714285714285,0.9785714285714285,0.9785714285714284,1.1102230246251565e-16
10,2de55a8f-36be-402e-bfe8-e9873f9025ab,reflexive,2000,1000,500,0.001,0,0,5,attn,-1,0.0,gpt2-medium,0.21459749341011047,0.21810553967952728,0.9994994994994995,0.48598598598598597,0.999,0.511,0.5685685685685685,0.555,1244160.0,4194304,0.904,0.882,0.8944000000000001,0.0053888774341229965,0.9928571428571429,0.9928571428571429,0.9942857142857143,0.002857142857142847,0.791,0.761,0.7716000000000001,0.007310266752998832,0.9785714285714285,0.9785714285714285,0.9785714285714284,1.1102230246251565e-16
11,765b8227-e0ea-4c90-a611-2d90f21d6d1f,reflexive,2000,1000,500,0.001,0,0,5,mlp,-1,0.0,gpt2-medium,0.6943968534469604,0.6924580037593842,0.48598598598598597,0.48598598598598597,0.511,0.511,0.5215215215215215,0.497,2048.0,8388608,0.904,0.906,0.9046,0.000489897948556636,0.9928571428571429,0.9928571428571429,0.9928571428571429,0.0,0.791,0.792,0.791,0.0006324555320336764,0.9785714285714285,0.9785714285714285,0.9785714285714284,1.1102230246251565e-16
12,74ec8fb7-536e-4c36-a629-111b8a7285c8,reflexive,2000,1000,500,0.001,0,0,6,attn,-1,0.0,gpt2-medium,0.15117374435067177,0.15277760475873947,1.0,0.48598598598598597,0.999,0.511,0.5105105105105106,0.535,1085440.0,4194304,0.904,0.896,0.8608,0.015574337867145443,0.9928571428571429,0.9928571428571429,0.9942857142857143,0.0028571428571428467,0.791,0.77,0.7686,0.008309031231136403,0.9785714285714285,0.9785714285714285,0.9828571428571429,0.003499271061118868
13,dedf08a9-6fa8-4468-affd-c552cda4c8a8,reflexive,2000,1000,500,0.001,0,0,6,mlp,-1,0.0,gpt2-medium,0.6785441040992737,0.6736529171466827,0.6396396396396397,0.48598598598598597,0.661,0.511,0.52002002002002,0.513,400384.0,8388608,0.904,0.896,0.9052,0.003310589071449373,0.9928571428571429,0.9928571428571429,0.9942857142857143,0.002857142857142847,0.791,0.769,0.7912000000000001,0.005635601121442153,0.9785714285714285,0.9785714285714285,0.9785714285714284,1.1102230246251565e-16
14,bbfda75b-c113-4e48-a854-5fe83337a0f9,reflexive,2000,1000,500,0.001,0,0,7,attn,-1,0.0,gpt2-medium,0.3096794858574867,0.30387330055236816,0.9944944944944945,0.48598598598598597,0.996,0.511,0.5785785785785785,0.595,1055744.0,4194304,0.904,0.821,0.914,0.012537942414925994,0.9928571428571429,0.9928571428571429,0.9957142857142858,0.0034992710611188135,0.791,0.723,0.7847999999999999,0.008280096617793787,0.9785714285714285,0.9785714285714285,0.9785714285714284,1.1102230246251565e-16
15,4c03388c-babe-4ebd-a780-62a1408b30df,reflexive,2000,1000,500,0.001,0,0,7,mlp,-1,0.0,gpt2-medium,0.6466319710016251,0.6432835459709167,0.8683683683683684,0.48598598598598597,0.884,0.511,0.5665665665665666,0.556,648192.0,8388608,0.904,0.903,0.9034000000000001,0.009243376006633082,0.9928571428571429,0.9928571428571429,0.9957142857142858,0.0034992710611188135,0.791,0.809,0.786,0.007155417527999333,0.9785714285714285,0.9785714285714285,0.9785714285714284,1.1102230246251565e-16
16,3429b103-10d2-4d54-8f1e-75a47469069b,reflexive,2000,1000,500,0.001,0,0,8,attn,-1,0.0,gpt2-medium,0.1673014871776104,0.1663338840007782,1.0,0.48598598598598597,1.0,0.511,0.5820820820820821,0.584,1168384.0,4194304,0.904,0.884,0.9199999999999999,0.007874007874011818,0.9928571428571429,0.9928571428571429,0.9971428571428571,0.0034992710611188135,0.791,0.781,0.79,0.003949683531626304,0.9785714285714285,0.9785714285714285,0.9785714285714284,1.1102230246251565e-16
17,4ab6e6f9-4a1e-4e96-bccd-0b9e23e97b13,reflexive,2000,1000,500,0.001,0,0,8,mlp,-1,0.0,gpt2-medium,0.5986735075712204,0.5932509005069733,0.9379379379379379,0.48598598598598597,0.959,0.511,0.5965965965965966,0.602,1072128.0,8388608,0.904,0.87,0.9056,0.01180847153530042,0.9928571428571429,1.0,0.9971428571428571,0.0034992710611188135,0.791,0.746,0.7888,0.012367699866992257,0.9785714285714285,0.9785714285714285,0.9785714285714284,1.1102230246251565e-16
18,01070530-c230-4a12-98ac-cc2757ef7d15,reflexive,2000,1000,500,0.001,0,0,9,attn,-1,0.0,gpt2-medium,0.21831480413675308,0.217149056494236,0.9984984984984985,0.48598598598598597,1.0,0.511,0.8348348348348348,0.819,1095680.0,4194304,0.904,0.881,0.9036,0.008867919710958154,0.9928571428571429,0.9928571428571429,1.0,0.0,0.791,0.767,0.797,0.00641872261435249,0.9785714285714285,0.9785714285714285,0.9814285714285715,0.0034992710611188678
