,Unnamed: 0,model_id,label,train length,dev length,test length,batch_size,lr,data_seed,model_seed,target_layer,operation,mask_init,model,model path,train loss,dev loss,knn dev acc,dev majority acc,knn test acc,test majority acc,L0 Norm,L0 Max,vanilla acc,ablated acc,kl,mlm vanilla acc,mlm ablated acc,mlm kl,random ablate kl mean,random ablate kl std,all random ablate kls,random ablate mlm kl mean,random ablate mlm kl std,all random ablate mlm kls
10,10,4002b068-d26a-47b6-8652-c7bf391294d4,dep,16521,1522,15977,16,0.001,0,1,1,mlp,0.0,gpt_neox,EleutherAI/pythia-160m,2.664408553031183,2.784579078356425,0.6583649835004047,0.1164933690305709,0.5834637291105965,0.1169806596983163,352951.0,4718592,0.0305927342256214,0.0108349267049075,1.663522558655991,-1,-1,-1,0.5418145281254979,0.0,[0.5418145281254979],-1.0,-1,[-1]
11,11,8ab644d0-fa12-4765-9070-c855f40052c6,dep,16521,1522,15977,16,0.001,0,2,1,mlp,0.0,gpt_neox,EleutherAI/pythia-160m,2.6638687041498,2.787791013717652,0.6507066807795281,0.1164933690305709,0.574325593039995,0.1169806596983163,354648.0,4718592,0.0369662205226258,0.0210325047801147,1.3435349570785533,-1,-1,-1,0.4508988311748128,0.0,[0.4508988311748128],-1.0,-1,[-1]
12,12,f3215fec-13cc-4c51-b1f4-3058a7a00081,dep,16521,1522,15977,16,0.001,0,0,2,attn,0.0,gpt_neox,EleutherAI/pythia-160m,2.642233883180926,2.7831157048543296,0.7009293332501715,0.1163225846691199,0.5879702071728109,0.1169806596983163,447735.0,2359296,0.1108986615678776,0.0822179732313575,0.5708657453742432,-1,-1,-1,0.2756960536356257,0.0,[0.27569605363562577],-1.0,-1,[-1]
13,13,f1c34bba-f7ac-4408-83c7-3aaf3cb03f41,dep,16521,1522,15977,16,0.001,0,1,2,attn,0.0,gpt_neox,EleutherAI/pythia-160m,2.6450528098690893,2.7825353940327964,0.6905756876442337,0.1163225846691199,0.5798961006446767,0.1169806596983163,439637.0,2359296,0.1089866156787763,0.0758444869343531,0.6327256736974187,-1,-1,-1,0.2839374530079868,0.0,[0.2839374530079868],-1.0,-1,[-1]
14,14,e449db53-d10d-4c17-aefa-9ced44cfe432,dep,16521,1522,15977,16,0.001,0,2,2,attn,0.0,gpt_neox,EleutherAI/pythia-160m,2.6430687481357205,2.794606924057007,0.6937566269569014,0.1163225846691199,0.5872191274957752,0.1169806596983163,440904.0,2359296,0.1102613129381771,0.0713830465264499,0.8033631654815966,-1,-1,-1,0.3456759723301068,0.0,[0.3456759723301068],-1.0,-1,[-1]
15,15,32eaf8a1-27a8-480d-8d93-5e5b17d9078e,dep,16521,1522,15977,16,0.001,0,0,2,mlp,0.0,gpt_neox,EleutherAI/pythia-160m,2.652934701211991,2.7799105644226074,0.6804059523068302,0.1164933690305709,0.597421293108844,0.1169806596983163,355938.0,4718592,0.0350541746335245,0.0140216698534098,1.2281512034934672,-1,-1,-1,0.2199044358282046,0.0,[0.21990443582820468],-1.0,-1,[-1]
16,16,2ddbdf6c-3978-4c53-bc60-ef0e520424bd,dep,16521,1522,15977,16,0.001,0,1,2,mlp,0.0,gpt_neox,EleutherAI/pythia-160m,2.652842421685496,2.7769173781077066,0.679036174584397,0.1164933690305709,0.5941040245352694,0.1169806596983163,353365.0,4718592,0.0376035691523263,0.0101975780752071,1.3187888384321225,-1,-1,-1,0.2775953206535811,0.0,[0.2775953206535811],-1.0,-1,[-1]
17,17,c912c578-e1e6-4111-a294-ef5a863aebb8,dep,16521,1522,15977,16,0.001,0,2,2,mlp,0.0,gpt_neox,EleutherAI/pythia-160m,2.654461083873626,2.778319756189982,0.6797210634456136,0.1164933690305709,0.5917256055579896,0.1169806596983163,352755.0,4718592,0.0420650095602294,0.0203951561504142,1.1906926560508286,-1,-1,-1,0.3137424875019917,0.0,[0.31374248750199174],-1.0,-1,[-1]
18,18,75f270d2-511f-41b1-88fe-88d653c01c0b,dep,16521,1522,15977,16,0.001,0,0,3,attn,0.0,gpt_neox,EleutherAI/pythia-160m,2.6236361149818666,2.790170510609945,0.6961267386016341,0.1163225846691199,0.5820867497026976,0.1169806596983163,432191.0,2359296,0.0911408540471638,0.0420650095602294,1.9858385989284577,-1,-1,-1,0.4123256627429891,0.0,[0.41232566274298915],-1.0,-1,[-1]
19,19,f77d720b-8e4c-46cf-8d4d-162f1347981f,dep,16521,1522,15977,16,0.001,0,1,3,attn,0.0,gpt_neox,EleutherAI/pythia-160m,2.632108957536759,2.790508508682251,0.6834653527100355,0.1163225846691199,0.5810227201602304,0.1169806596983163,407090.0,2359296,0.0752071383046526,0.0452517527087316,1.915785488617352,-1,-1,-1,0.5300056063650215,0.0,[0.5300056063650215],-1.0,-1,[-1]
