,model_id,multitask,agreement,train length,test length,batch_size,lr,data_seed,model_seed,target_layer,operation,probe index,mask_init,model path,train loss,test loss,knn dev acc,dev majority acc,knn test acc,test majority acc,full model knn dev acc,full model knn test acc,L0 Norm,L0 Max, vanilla acc IID, ablated acc IID, kl IID,random ablate acc mean IID,random ablate acc std IID, random ablate kl mean IID, random ablate kl std IID, vanilla acc Gen, ablated acc Gen, kl Gen,random ablate acc mean Gen,random ablate acc std Gen, random ablate kl mean Gen, random ablate kl std Gen
0,ba1a2572-8517-4ea4-9fbb-2ab2e4a105dc,False,True,2000,1000,500,0.001,0,0,0,attn,-1,0.0,gpt2,0.6947891414165497,0.6937685310840607,0.497997997997998,0.497997997997998,0.504,0.504,0.4519519519519519,0.45,0.0,2359296,0.711,0.711,0.0,0.711,0.0,0.0,0.0,0.75,0.75,0.0,0.75,0.0,0.0,0.0
1,65709cc8-bd56-47ce-a563-51dfff285a58,False,True,2000,1000,500,0.001,0,0,0,mlp,-1,0.0,gpt2,0.44160105288028717,0.4374076873064041,0.8258258258258259,0.497997997997998,0.837,0.504,0.544044044044044,0.536,327168.0,4718592,0.711,0.503,0.8702352262985646,0.6998,0.044151557163932494,0.050006756627109475,0.026599444242450972,0.75,0.5,1.4324611787281207,0.75,0.07071067811865475,0.0287296565641025,0.009475376597093984
2,f6bb25fd-0d69-4b32-9adb-c36224429864,False,True,2000,1000,500,0.001,0,0,1,attn,-1,0.0,gpt2,0.34419260919094086,0.34925365447998047,0.9974974974974975,0.497997997997998,0.995,0.504,0.494994994994995,0.49,367104.0,2359296,0.711,0.551,0.13950483233453126,0.6462,0.031249959999974427,0.13870530666074535,0.0436808171175802,0.75,0.65,0.04233777157844409,0.76,0.058309518948453015,0.038954224996158276,0.008112034159055523
3,4a297e31-3e7c-493f-8307-fc327dea976d,False,True,2000,1000,500,0.001,0,0,1,mlp,-1,0.0,gpt2,0.26264385879039764,0.2665797173976898,0.997997997997998,0.497997997997998,0.999,0.504,0.42842842842842843,0.423,281088.0,4718592,0.711,0.673,0.10703019023791288,0.7092,0.022085289221561027,0.0334494673660812,0.009294688241099431,0.75,0.8,0.07529578699531411,0.8,0.0632455532033676,0.010532709541007991,0.0060308063641792585
4,b5242a08-af4c-4e33-a578-96171aa2c50b,False,True,2000,1000,500,0.001,0,0,2,attn,-1,0.0,gpt2,0.44631294906139374,0.4490024894475937,0.998998998998999,0.497997997997998,1.0,0.504,0.7432432432432432,0.719,366336.0,2359296,0.711,0.709,0.025465229767952804,0.6888,0.027154373496731592,0.065488315869324,0.01906431491250789,0.75,0.9,0.012558300141487433,0.74,0.08602325267042628,0.02237431679917444,0.011217982800990695
5,d86d02e2-e997-4a6c-bde2-b7ef560f6612,False,True,2000,1000,500,0.001,0,0,2,mlp,-1,0.0,gpt2,0.511844202876091,0.513860821723938,1.0,0.497997997997998,1.0,0.504,0.5595595595595596,0.554,283392.0,4718592,0.711,0.61,0.19935801988994228,0.692,0.028635642126552688,0.027040039861318216,0.023667070391732728,0.75,0.6,0.10117606401644508,0.75,0.06324555320336757,0.22872344328553576,0.43202705370550715
6,51ae2a87-f087-463e-abf1-fcb2c9642889,False,True,2000,1000,500,0.001,0,0,3,attn,-1,0.0,gpt2,0.21127983182668686,0.21231430768966675,1.0,0.497997997997998,1.0,0.504,0.6966966966966966,0.699,427776.0,2359296,0.711,0.756,0.06967707235154152,0.6432,0.03320481892737863,0.13152558648182816,0.056628268125480385,0.75,0.85,0.01235250017010435,0.72,0.024494897427831803,0.05487186392074671,0.034869214016296876
7,2711c23e-7060-4ebc-93fd-e4510320561d,False,True,2000,1000,500,0.001,0,0,3,mlp,-1,0.0,gpt2,0.5864681601524353,0.5848105549812317,0.997997997997998,0.497997997997998,1.0,0.504,0.4914914914914915,0.494,225792.0,4718592,0.711,0.679,0.024563599583636974,0.709,0.012712198865656575,0.008338447185544422,0.0017819697766282634,0.75,0.8,0.010542526867995906,0.76,0.020000000000000018,0.005522787639217741,0.004827245909236835
8,b035c747-1cb4-417e-8f2b-b07f393f587c,False,True,2000,1000,500,0.001,0,0,4,attn,-1,0.0,gpt2,0.41433674842119217,0.414687916636467,1.0,0.497997997997998,1.0,0.504,0.6121121121121121,0.594,480768.0,2359296,0.711,0.648,0.1192165857351408,0.6738000000000001,0.010628264204469147,0.044063229445140836,0.011473057132718569,0.75,0.8,0.045320783182743914,0.75,0.0,0.010324258650641571,0.004294587587847526
9,f5f203db-13bb-400b-9ee0-0b84711fb406,False,True,2000,1000,500,0.001,0,0,4,mlp,-1,0.0,gpt2,0.27159344404935837,0.27602122724056244,0.9984984984984985,0.497997997997998,0.999,0.504,0.5790790790790791,0.562,263424.0,4718592,0.711,0.726,0.03397394348264672,0.6909999999999998,0.02839013913315676,0.014424637791342607,0.00352687348190157,0.75,0.75,0.01297102203051666,0.8100000000000002,0.05830951894845301,0.004787917073069668,0.001876622932894001
