,model_id,data_seed,target_layer,target_position,residual_location,model path,counterfactual accuracy,original model accuracy,logit diff,% Samples with Diff Counterfactual label
0,85cb2c48-3afc-4be8-b2fe-e03d5e20ac87,0,0,0,resid_mid,../Model/Algorithmic_Train/Disambiguation/a2_minus_b2_2_layer/ba35f4aa-e742-4fa4-99af-14e4f10d653a_final,0.017815191855912293,1.0,0.9860516180304754,0.9821848081440877
1,12e745ac-2381-4538-a5ad-0a8a4b7754a1,0,0,0,resid_post,../Model/Algorithmic_Train/Disambiguation/a2_minus_b2_2_layer/ba35f4aa-e742-4fa4-99af-14e4f10d653a_final,0.017815191855912293,1.0,0.9860516180304754,0.9821848081440877
2,4d967d0e-99b4-449f-a43c-94d5c9da6543,0,0,1,resid_mid,../Model/Algorithmic_Train/Disambiguation/a2_minus_b2_2_layer/ba35f4aa-e742-4fa4-99af-14e4f10d653a_final,0.017815191855912293,1.0,0.9853409557610745,0.9821848081440877
3,0e7b3851-db79-420c-8238-4908df53028a,0,0,1,resid_post,../Model/Algorithmic_Train/Disambiguation/a2_minus_b2_2_layer/ba35f4aa-e742-4fa4-99af-14e4f10d653a_final,0.017815191855912293,1.0,0.9853409557610745,0.9821848081440877
4,0abff883-3be5-43cc-976b-5802e5cb81f0,0,0,2,resid_mid,../Model/Algorithmic_Train/Disambiguation/a2_minus_b2_2_layer/ba35f4aa-e742-4fa4-99af-14e4f10d653a_final,0.015857478465152702,1.0,-0.007391885095003945,0.9821848081440877
5,752e28b0-82bf-49ea-86eb-d11b1727d0a3,0,0,2,resid_post,../Model/Algorithmic_Train/Disambiguation/a2_minus_b2_2_layer/ba35f4aa-e742-4fa4-99af-14e4f10d653a_final,0.015857478465152702,1.0,-0.007391885095003945,0.9821848081440877
6,41bd7fa0-2220-4052-88ee-f0c6f48a548b,0,1,0,resid_mid,../Model/Algorithmic_Train/Disambiguation/a2_minus_b2_2_layer/ba35f4aa-e742-4fa4-99af-14e4f10d653a_final,0.017815191855912293,1.0,1.0,0.9821848081440877
7,88ce97ba-c7db-46dc-be26-bf764e12766a,0,1,0,resid_post,../Model/Algorithmic_Train/Disambiguation/a2_minus_b2_2_layer/ba35f4aa-e742-4fa4-99af-14e4f10d653a_final,0.017815191855912293,1.0,1.0,0.9821848081440877
8,800b0332-4adc-433a-a1ed-f40e62a3a0a7,0,1,1,resid_mid,../Model/Algorithmic_Train/Disambiguation/a2_minus_b2_2_layer/ba35f4aa-e742-4fa4-99af-14e4f10d653a_final,0.017815191855912293,1.0,1.0,0.9821848081440877
9,6b821a75-245a-4e32-9589-d52ec3fa5c8c,0,1,1,resid_post,../Model/Algorithmic_Train/Disambiguation/a2_minus_b2_2_layer/ba35f4aa-e742-4fa4-99af-14e4f10d653a_final,0.017815191855912293,1.0,1.0,0.9821848081440877
10,6971d58c-5d04-4c35-9135-3531ac96e10a,0,1,2,resid_mid,../Model/Algorithmic_Train/Disambiguation/a2_minus_b2_2_layer/ba35f4aa-e742-4fa4-99af-14e4f10d653a_final,0.015857478465152702,1.0,-0.008307951422620497,0.9821848081440877
11,c814acb2-8924-4816-8f1e-84169da1ec71,0,1,2,resid_post,../Model/Algorithmic_Train/Disambiguation/a2_minus_b2_2_layer/ba35f4aa-e742-4fa4-99af-14e4f10d653a_final,0.015857478465152702,1.0,-0.008307951422620497,0.9821848081440877
