,model_id,data_seed,model_seed,target_layer,residual_location,target_position,model path,Train Pre Erasure Probe Acc,Train Post Erasure Probe Acc,Test Pre Erasure Probe Acc,Test Post Erasure Probe Acc,train acc,test acc
0,4edaf793-48ec-4d6d-850b-1e1deff5fc4c,0,0,0,resid_mid,2,../Model/Algorithmic_Train/Grokking/model_LR_0.001_Seed_0_800,0.960254,0.020931326,0.95444405,0.019373018,0.05620884,0.007396971
1,7d4bbe0c-1071-4d3a-a86f-9ed10f8e05e2,0,0,0,resid_post,2,../Model/Algorithmic_Train/Grokking/model_LR_0.001_Seed_0_800,0.2697554,0.029868297,0.34530938,0.029470472,0.85301036,0.023365036
