,model_id,train length,test length,batch_size,lr,data_seed,model_seed,target_layer,residual_location,target_position,model path,train loss,test loss,train acc,test acc,counterfactual embedding success,counterfactual predicts CF label,counterfactual predicts original label,counterfactual average logit diff,counterfactual dataset size
0,381fd195-586b-4a94-84cb-18ebe3b381a6,7500,5108,500,0.1,0,0,0,resid_mid,0,../Model/Algorithmic_Train/Disambiguation/a2_minus_b2_2_layer/ba35f4aa-e742-4fa4-99af-14e4f10d653a_final,4.340878963470459,6.866732077165083,0.014933333732187748,0.0,1.0,0.0,0.9998009554140127,0.9903607319936301,5024
1,0bcff743-0260-4c5b-a05d-ef9e20ed8d1d,7500,5108,500,0.1,0,0,0,resid_post,0,../Model/Algorithmic_Train/Disambiguation/a2_minus_b2_2_layer/ba35f4aa-e742-4fa4-99af-14e4f10d653a_final,4.3405685742696125,6.863668831911954,0.014933333732187748,0.0,1.0,0.0,1.0,0.9902083939763214,5024
2,5fec38dc-4ea1-45ec-abf8-dca5f2835ebc,7500,5108,500,0.1,0,0,0,resid_mid,1,../Model/Algorithmic_Train/Disambiguation/a2_minus_b2_2_layer/ba35f4aa-e742-4fa4-99af-14e4f10d653a_final,4.338789304097493,6.860654094002464,0.01613333262503147,0.0,1.0,0.0,0.9998009554140127,0.9883879072648297,5024
3,6574ac55-6fbf-45c5-9110-7a03153741e2,7500,5108,500,0.1,0,0,0,resid_post,1,../Model/Algorithmic_Train/Disambiguation/a2_minus_b2_2_layer/ba35f4aa-e742-4fa4-99af-14e4f10d653a_final,4.338478883107503,6.8569513667713515,0.01586666703224182,0.0,1.0,0.0,0.9998009554140127,0.9882541899319913,5024
4,93253e6b-1ad7-46b8-a935-bebd9d3197e1,7500,5108,500,0.1,0,0,0,resid_mid,2,../Model/Algorithmic_Train/Disambiguation/a2_minus_b2_2_layer/ba35f4aa-e742-4fa4-99af-14e4f10d653a_final,4.665292580922444,4.939016125418923,0.020133333280682564,0.0007830853573977947,1.0,0.008160828025477707,0.010151273885350318,-0.004196896622658368,5024
5,dbc62803-2cc2-416a-9a3c-b736d0d8261d,7500,5108,500,0.1,0,0,0,resid_post,2,../Model/Algorithmic_Train/Disambiguation/a2_minus_b2_2_layer/ba35f4aa-e742-4fa4-99af-14e4f10d653a_final,4.598866494496663,4.898380539634011,0.030799999833106995,0.010375880636274815,1.0,0.018909235668789808,0.006767515923566879,-0.014120272496167867,5024
6,9cbccb63-d779-489b-906b-9cc7419a1639,7500,5108,500,0.1,0,0,1,resid_mid,0,../Model/Algorithmic_Train/Disambiguation/a2_minus_b2_2_layer/ba35f4aa-e742-4fa4-99af-14e4f10d653a_final,4.340903663635254,6.863267638466575,0.014800000004470348,0.0,1.0,0.0,1.0,1.0,5024
7,0b30f270-5b76-4a06-b95f-5437d1115e41,7500,5108,500,0.1,0,0,1,resid_post,0,../Model/Algorithmic_Train/Disambiguation/a2_minus_b2_2_layer/ba35f4aa-e742-4fa4-99af-14e4f10d653a_final,4.342211818695068,6.868345694108442,0.014933333732187748,0.0,1.0,0.0,1.0,1.0,5024
8,8e751e2a-71a9-45e9-b24b-31eb16ccb14b,7500,5108,500,0.1,0,0,1,resid_mid,1,../Model/Algorithmic_Train/Disambiguation/a2_minus_b2_2_layer/ba35f4aa-e742-4fa4-99af-14e4f10d653a_final,4.338476498921712,6.8580850687893955,0.01626666635274887,0.0,1.0,0.0,1.0,1.0,5024
9,9225c475-e7d2-4739-9a95-3d7a59caa265,7500,5108,500,0.1,0,0,1,resid_post,1,../Model/Algorithmic_Train/Disambiguation/a2_minus_b2_2_layer/ba35f4aa-e742-4fa4-99af-14e4f10d653a_final,4.340250047047933,6.860454776070335,0.01679999940097332,0.0,1.0,0.0,1.0,1.0,5024
10,3413d972-46d3-4819-a01e-244bdd4bf331,7500,5108,500,0.1,0,0,1,resid_mid,2,../Model/Algorithmic_Train/Disambiguation/a2_minus_b2_2_layer/ba35f4aa-e742-4fa4-99af-14e4f10d653a_final,4.594909954071045,4.894099929115989,0.03253333270549774,0.011550509370863438,1.0,0.020103503184713375,0.0073646496815286625,-0.017168498627833748,5024
11,6746cc06-d54e-4496-9ec6-c8c38e0aa971,7500,5108,500,0.1,0,0,1,resid_post,2,../Model/Algorithmic_Train/Disambiguation/a2_minus_b2_2_layer/ba35f4aa-e742-4fa4-99af-14e4f10d653a_final,4.391326681772868,5.467709541320801,0.03906666487455368,0.008809709921479225,1.0,0.01751592356687898,0.006767515923566879,-0.02027568054476452,5024
