,model_id,label,train length,dev length,test length,batch_size,lr,seed,target_layer,mask_init,model,model path,train loss,dev loss,knn dev acc,dev majority acc,knn test acc,test majority acc,L0 Norm,L0 Max,vanilla acc,ablated acc,kl,mlm vanilla acc,mlm ablated acc,mlm kl,random ablate acc,random ablate kl,random ablate mlm acc,random ablate mlm kl
0,f3a0d518-5057-49a7-8b93-d21a8500dd43,pos,16521,1522,15977,16,0.001,0,0,0.0,bert,bert-base-uncased,2.769698135314449,2.7101261615753174,0.5665898760973788,0.1241516717514476,0.5591162295800213,0.13187707329285847,362424.0,4718592,0.0,0.0,0.0075505432573337,0.0,0.0,0.00596163963729685,0.0,0.003354251577630398,0.0,0.003199729729782451
1,540f40b0-b04a-44da-bd3c-71f07b9b7e03,pos,16521,1522,15977,16,0.001,0,1,0.0,bert,bert-base-uncased,2.7729494533231183,2.7140464782714844,0.5748708050557251,0.1241516717514476,0.5645615572385304,0.13187707329285847,372130.0,4718592,0.0,0.0,0.012484779481363142,0.0,0.0,0.010423182086511091,0.0,0.003360581320852138,0.0,0.0033460269597443667
2,3af0d0b7-80d4-4ffb-a2fc-42cbcbc126fa,pos,16521,1522,15977,16,0.001,0,2,0.0,bert,bert-base-uncased,2.7720908926379297,2.715402881304423,0.5885685822800573,0.1241516717514476,0.5715716342241973,0.13187707329285847,393370.0,4718592,0.0,0.0,0.023425322597466627,0.0,0.0,0.021144513379443775,0.0,0.004063615212548512,0.0,0.004141169515523044
3,e4a85ab1-bec6-4132-9885-bb4911790563,pos,16521,1522,15977,16,0.001,0,3,0.0,bert,bert-base-uncased,2.7757515330468454,2.719726840655009,0.5812215926779154,0.1241516717514476,0.5654378168617388,0.13187707329285847,411621.0,4718592,0.0,0.0,0.022337247484324432,0.0,0.0,0.01968626000664451,0.0,0.004447040743040807,0.0,0.004184363917870955
4,e20de4b2-cdbf-4020-b42a-f754ef2395c9,pos,16521,1522,15977,16,0.001,0,4,0.0,bert,bert-base-uncased,2.776030575075457,2.7234700123469033,0.5791669260942656,0.1241516717514476,0.5637478875884083,0.13187707329285847,441161.0,4718592,0.0,0.0,0.031085410010081665,0.0,0.0,0.026888771490617233,0.0,0.004282946725493496,0.0,0.004198230125687339
5,8504292f-7789-4414-9dc0-2341ab99015e,pos,16521,1522,15977,16,0.001,0,5,0.0,bert,bert-base-uncased,2.776314604666925,2.7223727305730185,0.573314239462051,0.1241516717514476,0.5559241409526194,0.13187707329285847,461515.0,4718592,0.0,0.0,0.03336029546546319,0.0,0.0,0.028103673999959774,0.0,0.00481657688671717,0.0,0.0047776306217367
6,80e93b63-8b29-4876-bad1-413405bfb0b3,pos,16521,1522,15977,16,0.001,0,6,0.0,bert,bert-base-uncased,2.780556148098361,2.724313577016195,0.5734387647095449,0.1241516717514476,0.5541090317331163,0.13187707329285847,471689.0,4718592,0.0,0.0,0.03833143610784537,0.0,0.0,0.036827198483727196,0.0,0.004876626579506884,0.0,0.004980583421208642
7,2ee0599e-a30c-4a97-b846-9278b176e5c1,pos,16521,1522,15977,16,0.001,0,7,0.0,bert,bert-base-uncased,2.781978734077946,2.7236130237579346,0.5781084614905672,0.1241516717514476,0.5601802591224886,0.13187707329285847,480607.0,4718592,0.0,0.0,0.03709312364893052,0.0,0.0,0.0330810546875,0.0,0.004676766071504759,0.0,0.00450208376754414
8,7ee4f451-8d83-4c2e-8971-8ca8659a2c87,pos,16521,1522,15977,16,0.001,0,8,0.0,bert,bert-base-uncased,2.785136834267647,2.7239094972610474,0.5693916941659921,0.1241516717514476,0.5521687425674408,0.13187707329285847,498170.0,4718592,0.0,0.0,0.04514403111726335,0.0,0.0,0.04475003480911255,0.0,0.005409301214619362,0.0,0.005051263015378605
9,d97de02b-1d63-4f43-8ddf-c174c6377e78,pos,16521,1522,15977,16,0.001,0,9,0.0,bert,bert-base-uncased,2.7867872868814776,2.727371096611023,0.5717576738683768,0.1241516717514476,0.554234211679289,0.13187707329285847,512538.0,4718592,0.0,0.0,0.03686285173237131,0.0,0.0,0.03275234049016779,0.0,0.0055588731487977855,0.0,0.00487806038423018
10,7756d50a-d359-4f91-aaae-9c20316f7574,pos,16521,1522,15977,16,0.001,0,10,0.0,bert,bert-base-uncased,2.7929063074050413,2.7378082275390625,0.5646597347612229,0.1241516717514476,0.5476622645052263,0.13187707329285847,528992.0,4718592,0.0,0.0,0.040071436811033576,0.0,0.0,0.028136166659268467,0.0,0.005924456945129197,0.0,0.005476533011956649
11,4d4e91f5-1b7b-4c6b-8411-a59e89a130cd,pos,16521,1522,15977,16,0.001,0,11,0.0,bert,bert-base-uncased,2.7955663434920774,2.739275574684143,0.553763775605504,0.1241516717514476,0.5414658571696814,0.13187707329285847,540502.0,4718592,0.0,0.0,0.04407931824718093,0.0,0.0,0.03569145094264637,0.0,0.005373846751586519,0.0,0.004716680469838056
