,model_id,task,train length,test length,batch_size,lr,data_seed,model_seed,target_layer,operation,probe index,mask_init,model path,train loss,test loss,knn dev acc,dev majority acc,knn test acc,test majority acc,full model knn dev acc,full model knn test acc,L0 Norm,L0 Max, vanilla acc Test, ablated acc Test
0,def21f01-75da-44d6-9fed-dfca52a15a57,grokking,4000,8517,500,0.001,0,0,0,attn,2,0.0,../Model/Algorithmic_Train/Grokking/a2_b/model_LR_0.001_Seed_0_1000,3.905793070793152,4.38477443324195,0.51052498097895,0.007101191985797616,0.5059293178349183,0.009627803217095221,0.4849099670301801,0.48021603851121286,51328.0,65536,0.049782787366443586,0.009510390982740402
1,0c19c74a-3fef-4f68-aab9-31155840ee96,grokking,4000,8517,500,0.001,0,0,0,mlp,2,0.0,../Model/Algorithmic_Train/Grokking/a2_b/model_LR_0.001_Seed_0_1000,3.751382350921631,4.230503519376119,0.2726350494547299,0.007101191985797616,0.2672302453915698,0.009627803217095221,0.07684504184630991,0.09968298696724198,32256.0,131072,0.049782787366443586,0.017142186215803688
