,model_id,label,train length,dev length,test length,batch_size,lr,data_seed,model_seed,target_layer,operation,mask_init,model,model path,train loss,dev loss,knn dev acc,dev majority acc,knn test acc,test majority acc,L0 Norm,L0 Max,vanilla acc,ablated acc,kl,mlm vanilla acc,mlm ablated acc,mlm kl,random ablate kl mean,random ablate kl std,all random ablate kls,random ablate mlm kl mean,random ablate mlm kl std,all random ablate mlm kls
0,4749a80a-aedc-4018-b294-f2c2b103a5a5,dep,16521,1522,15977,16,0.001,0,0,0,attn,0.0,gpt_neox,EleutherAI/pythia-160m,3.2277783386168943,3.2633060216903687,0.43148506205950227,0.11632258466911995,0.43669024222319586,0.11698065969831634,506112.0,2359296,0.18929254302103252,0.08859145952836202,1.8642926675031868,-1,-1,-1,1.5206805314890057,0.21491378715237938,"[1.2034940895873167, 1.3692226276191046, 1.8682138553616954, 1.754742614473789, 1.778974155015137, 1.4478033879063097, 1.4099564561424474, 1.6642977712715106, 1.3937084229604844, 1.3163919345522626]",-1.0,-1,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
1,96a7fcd2-739c-45c4-940b-d54bcbb95cb7,dep,16521,1522,15977,16,0.001,0,0,0,mlp,0.0,gpt_neox,EleutherAI/pythia-160m,3.2545278226175616,3.2774175802866616,0.506070605815329,0.11649336903057095,0.50704137197221,0.11698065969831634,718080.0,4718592,0.18929254302103252,0.06309751434034416,2.0900671954668577,-1,-1,-1,0.3237971075482244,0.08953964201329209,"[0.2657373062435269, 0.3420044100915193, 0.308133749539416, 0.25686340137527885, 0.2694005631883863, 0.2799565720664536, 0.36387199562320743, 0.31645639296775413, 0.5719512297592018, 0.2635954546274996]",-1.0,-1,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
2,283291be-d4a3-4568-810a-7ee49dd004b3,dep,16521,1522,15977,16,0.001,0,0,1,attn,0.0,gpt_neox,EleutherAI/pythia-160m,3.1251591174833235,3.1593878666559854,0.527599326389322,0.11632258466911995,0.5295737622832822,0.11698065969831634,424704.0,2359296,0.18929254302103252,0.17782026768642448,0.21572551155941283,-1,-1,-1,0.1167302235590568,0.024026640319837235,"[0.10946256541537205, 0.15198157500734444, 0.10412196979316045, 0.11226415299852613, 0.1704859736620658, 0.09121604904845841, 0.12312729241667164, 0.09909650852453793, 0.09992037615706162, 0.10562577256736974]",-1.0,-1,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
3,84e2787f-be52-440f-bf98-b9f13edc8c57,dep,16521,1522,15977,16,0.001,0,0,1,mlp,0.0,gpt_neox,EleutherAI/pythia-160m,3.41742338672761,3.4391020933787027,0.3860905298549281,0.11649336903057095,0.38449020466921197,0.11698065969831634,616704.0,4718592,0.18929254302103252,0.18483110261312938,0.07146105210138325,-1,-1,-1,0.057934711327440346,0.011715553564248358,"[0.07763313988806565, 0.0524331816751688, 0.055598709369024855, 0.07026223060505796, 0.07672037449211282, 0.046682354141147825, 0.050276445689058515, 0.053036730482443034, 0.04330178838842914, 0.0534021585438949]",-1.0,-1,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
4,05d4185f-4aac-4593-9b56-abc49cffb757,dep,16521,1522,15977,16,0.001,0,0,2,attn,0.0,gpt_neox,EleutherAI/pythia-160m,3.2650641433654295,3.2944177389144897,0.3806524044158922,0.11632258466911995,0.38361394504600366,0.11698065969831634,444672.0,2359296,0.18929254302103252,0.17845761631612492,0.1498711551352623,-1,-1,-1,0.10419143764284326,0.003621820791029471,"[0.09778370805573813, 0.10263313405296466, 0.10899568926080007, 0.10212393396595164, 0.10559558564496693, 0.11077051302519021, 0.10193291221020555, 0.10150887542199451, 0.10484433584413838, 0.10572568894648263]",-1.0,-1,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
5,ac35b1bb-ec2b-4e41-84fa-cd575b7fa497,dep,16521,1522,15977,16,0.001,0,0,2,mlp,0.0,gpt_neox,EleutherAI/pythia-160m,3.27114265195785,3.289443850517273,0.46286034493493555,0.11649336903057095,0.46059961194216686,0.11698065969831634,670464.0,4718592,0.18929254302103252,0.16953473550031867,0.30017541091559113,-1,-1,-1,0.17479577730080367,0.06250403745785124,"[0.13110476044654237, 0.23998072316040273, 0.17555675421496575, 0.09185475920172084, 0.11894612163400255, 0.23340460325670212, 0.1732193489147646, 0.10904027915745498, 0.2978587785748785, 0.17699164444660215]",-1.0,-1,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
6,4c26d84b-ffee-4780-bb39-cf0811fd03ff,dep,16521,1522,15977,16,0.001,0,0,3,attn,0.0,gpt_neox,EleutherAI/pythia-160m,3.14371576616841,3.1710339784622192,0.5160606249610179,0.11632258466911995,0.522688865243788,0.11698065969831634,388608.0,2359296,0.18929254302103252,0.17463352453792225,0.18059439139429972,-1,-1,-1,0.119861034347116,0.01137800101082671,"[0.10569974219745858, 0.11684716773534597, 0.11136872757765197, 0.13600758734290352, 0.11383954273659078, 0.11806238586542483, 0.14414344918887428, 0.10910359000308716, 0.12176620648726298, 0.12177194433655991]",-1.0,-1,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
7,d727e8b6-0cde-443e-947b-f004d422da5a,dep,16521,1522,15977,16,0.001,0,0,3,mlp,0.0,gpt_neox,EleutherAI/pythia-160m,3.3277493215376333,3.350737770398458,0.4959217981445738,0.11649336903057095,0.4873881204231082,0.11698065969831634,515328.0,4718592,0.18929254302103252,0.17973231357552583,0.227265279562022,-1,-1,-1,0.5263692161701073,0.41406325771478425,"[0.8422296838900175, 0.8797500834030434, 0.12881102115200765, 0.12046684620105362, 0.2197573912835106, 0.8149210222972435, 1.3134432635237412, 0.13703838710651192, 0.09658234829048658, 0.7106921145534576]",-1.0,-1,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
8,cae55acb-7132-474d-aa18-7067d514a011,dep,16521,1522,15977,16,0.001,0,0,4,attn,0.0,gpt_neox,EleutherAI/pythia-160m,3.2970326369808567,3.3303447564442954,0.27967317407846315,0.11632258466911995,0.2824059585654378,0.11698065969831634,421632.0,2359296,0.18929254302103252,0.1861057998725303,0.13787338033157068,-1,-1,-1,0.16132053401988355,0.063225565572028,"[0.10914811182356397, 0.07149680668263772, 0.15353321588442082, 0.1632843114829808, 0.3051464501424076, 0.1585831943023273, 0.1345840074819999, 0.16519618231905275, 0.23636130727423915, 0.11587175280520534]",-1.0,-1,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
9,162b705e-555c-4113-9276-999a9d1a7ddc,dep,16521,1522,15977,16,0.001,0,0,4,mlp,0.0,gpt_neox,EleutherAI/pythia-160m,3.230326033407642,3.253289739290873,0.469148869933379,0.11649336903057095,0.46904925830881894,0.11698065969831634,548352.0,4718592,0.18929254302103252,0.1822817080943276,0.0704954984918987,-1,-1,-1,0.04527347144083736,0.0029414286969990776,"[0.04211262398422562, 0.0447769213664904, 0.04136047946791348, 0.04683073103389898, 0.04731557443690498, 0.04354045374367631, 0.04826205212876932, 0.04556335682622789, 0.04204694506011243, 0.05092557636015426]",-1.0,-1,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
10,485f09d2-71ef-4c21-a867-d393ab1e58d6,dep,16521,1522,15977,16,0.001,0,0,5,attn,0.0,gpt_neox,EleutherAI/pythia-160m,3.2982715868180796,3.3355488379796348,0.27087881244932327,0.11632258466911995,0.2795268198034675,0.11698065969831634,477696.0,2359296,0.18929254302103252,0.17208413001912046,0.14659998780074887,-1,-1,-1,0.15776883107678308,0.026181407323545444,"[0.1887119115728569, 0.13684570234698654, 0.20538843567011233, 0.17744343686514102, 0.1138236129109156, 0.13775330367857214, 0.14281104278078194, 0.16384298350113527, 0.1454773824483897, 0.16559049899293937]",-1.0,-1,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
